Question ID,GPT Response,Ground Truth Answer,Prompt
8813f87c0bdd11eba7f7acde48001122,Kitty Marion.,Małgorzata Braunek,"Kitty Marion
Kitty Marion (12 March 1871 – 9 October 1944) was born Katherina Maria Schäfer in Germany. She immigrated to London in 1886 when she was fifteen, and she grew to minor prominence when she sang in music halls throughout the United Kingdom during the late 19th century. She became known in the field for standing up for female performers against agents, corruption, and for better working conditions. She joined the Women’s Social and Political Union (WSPU) in 1908, engaged in selling their newspaper ""Votes for Women"" and became a prominent suffragette in the United Kingdom for her participation in civil unrest protests including riots and arson. As a result, Marion was arrested many times and is known for having endured 232 force-feedings while on hunger strike in prison. She is quoted as saying “there are no words to describe the horrible revolting sensation.” When World War I started she emigrated to the United States, and there she joined the team on Margaret Sanger’s ""Birth Control Review"". Although she used her tenacity and loud voice to get people to pay attention to her cause, she did not use violence as much as she had in the United Kingdom, although she was still arrested many times for advocating birth control.

Russian State Social University
Russian State Social University (RSSU; Russian: Российский государственный социальный университет, abbreviated as РГСУ) was the first public university in the Russian Federation to offer undergraduate and graduate programmes in the field of social work. It is located in Moscow where positioned its three main historically important campuses. Russian State Social University is recognized as a fully accredited, state-owned, traditional institution. The current rector is Natalia Pochinok.

Gojeb River
The Gojeb River is eastward-flowing tributary of the Omo River in Ethiopia. It rises in the mountains of Guma, flowing in almost a direct line its confluence with the Omo at

Ann Arbor, Michigan
A person from Ann Arbor is called an ""Ann Arborite"", and many long-time residents call themselves ""townies"". The city itself is often called ""A²"" (""A-squared"") or ""A2"" (""A two"") or ""AA"", ""The Deuce"" (mainly by Chicagoans), and ""Tree Town"". With tongue-in-cheek reference to the city's liberal political leanings, some occasionally refer to Ann Arbor as ""The People's Republic of Ann Arbor"" or ""25 square miles surrounded by reality"", the latter phrase being adapted from Wisconsin Governor Lee Dreyfus's description of Madison, Wisconsin. In A Prairie Home Companion broadcast from Ann Arbor, Garrison Keillor described Ann Arbor as ""a city where people discuss socialism, but only in the fanciest restaurants."" Ann Arbor sometimes appears on citation indexes as an author, instead of a location, often with the academic degree MI, a misunderstanding of the abbreviation for Michigan. Ann Arbor has become increasingly gentrified in recent years.

Strike Me Pink
"" Strike Me Pink"" is a 1993 song by the American singer Debbie Harry, released as the second single from her fourth solo album"" Debravation"". It was written by Harry, Anne Dudley and Jonathan Bernstein, and produced by Dudley.

Who is the mother of the director of film Polish-Russian War (Film)?"
61a46987092f11ebbdaeac1f6bf848b6,The Mask Of Fu Manchu.,The Mask Of Fu Manchu,"Hermann Krukenberg
Hermann Krukenberg (21 June 1863 – 3 October 1935) was a German surgeon who was a native of Calbe, Province of Saxony, Germany. He was the brother of pathologist Friedrich Ernst Krukenberg (1871–1946). Krukenberg studied medicine at the Universities of Bonn, Strassburg and Heidelberg. Afterwards he was a surgical assistant to Friedrich Trendelenburg (1844–1924) in Bonn, and to Max Schede (1844–1902) at Eppendorf Hospital in Hamburg. In 1892 he became manager of a private clinic in Halle an der Saale, and in 1899 was chief surgeon at the municipal hospital in Liegnitz. During World War I he served as a field surgeon. In 1917 he developed an operation known today as the ""Krukenberg procedure"". This procedure involves separation of the ulna and radius bones in order to convert a below-elbow amputation stump into a ""sensory forceps"" that receives its strength from the pronator teres muscle. Among his written works was a 1913 book on physiognomy titled ""Gesichtsausdruck des Menschen"".

Greatest Hits: The Sound of Money
Greatest Hits: Sound of Money is a compilation of American rock singer Eddie Money's biggest hits plus three new tracks: ""Peace in Our Time"", ""Looking Through the Eyes of a Child"" and ""Stop Steppin' on My Heart"". The disc was originally released in 1989 by Columbia Records. A remastered CD surfaced in 2009, released by SPV.

Peace or Violence
""Peace or Violence"" is a 2010 song by Belgian singer Stromae, released on 31 May as the fourth promo-single for his album ""Cheese"", on which it was included. The song has as yet only charted in Austria.

Seminole (film)
Seminole is a 1953 American Technicolor Western film directed by Budd Boetticher and starring Rock Hudson, Anthony Quinn, Barbara Hale, and Richard Carlson. Much of the film was shot in the Everglades National Park, Florida. The film depicts the Second Seminole War (1835-1842).

W. Steve Albrecht
W. Steve Albrecht is the Andersen Alumni Professor at the Marriott School of Management of Brigham Young University (BYU). He is a former president of the American Accounting Association and was previously president of the Association of Certified Fraud Examiners. He was also formerly an associate dean of the Marriott School of Management. Albrecht served as the mission president for The Church of Jesus Christ of Latter-day Saints in Tokyo, Japan.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?"
e2a3bf2a0bdd11eba7f7acde48001122,1818,12 June 1516,"Moju Chowdhury Hat
Moju Chowdhury Hat  is a market village and tourist center in Charramani Mohan Union of Lakshmipur Sadar Upazila in southeastern Bangladesh. According to ""Banglapedia"", the sluice gate on Lakshmipur Khal (canal) is a tourist attraction. and also known as an transport hub in the southeastern Bangladesh, per day Travelling passengers 10k+ Over.

Kåre Bergstrøm
Kåre Bergstrøm (3 February 1911 – 24 June 1976) was a Swedish-born photographer and film director who settled in Norway. Bergstrøm was born in Värmland. He was assigned with the film production company Norsk Film from 1933, and eventually became a photographer. He photographed Toralf Sandø's film ""Den forsvundne pølsemaker"" from 1941, Tancred Ibsen's film ""Den farlige leken"" from 1942, Rasmus Breistein's ""Trysil-Knut"" from 1942, and Alfred Maurstad's comedy ""En herre med bart"" from 1942. After World War II he photographed Edith Carlmar's film debut ""Døden er et kjærtegn"", and Ibsen's ""To mistenkelige personer"", which eventually was forbidden to be shown in public after a judgement by the Supreme Court of Norway. His first film as director was the love story ""Andrine og Kjell"" from 1952. He further directed the comedy ""Det kunne vært deg"" (1952), the war documentary ""Blodveien"" (1955), about Yugoslavian slave workers in Norway during World War II, the thriller ""Lake of the Dead "" (1958), based on a crime novel by André Bjerke, a biographical film about Hans Nielsen Hauge (1961), ""Klokker i måneskinn"" (1964), and the children's film ""Bjurra"" (1970).

Catholic University of Leuven (1834–1968)
The Catholic University of Leuven was founded in 1834 in Mechelen as the Catholic University of Belgium moved its seat to the town of Leuven in 1835, and changed its name to Catholic University of Leuven.

George Augustus Williams
George Augustus Williams (4 May 1814 – 26 May 1901) was an English landscape painter during the Victorian era, and a member of the Williams family of painters.

Kaitlin Olson
Kaitlin Willow Olson (born August 18, 1975) is an American actress and comedian. She began her career in the Groundlings, an improvisational group in Los Angeles, California, and had minor roles in several television series before being cast as Deandra ``Sweet Dee ''Reynolds on the FX black comedy series It's Always Sunny in Philadelphia in 2005.

When did John V, Prince Of Anhalt-Zerbst's father die?"
0cd3bdea0bde11eba7f7acde48001122,The award is Golden Globe.,Myanmar Motion Picture Academy Awards,"Consort Mei
Consort Mei (died 755) was an imperial consort of the Chinese dynasty Tang Dynasty during the reign of Emperor Xuanzong of Tang. She was one of Emperor Xuanzong's favorite concubine, often known as Mei fei (with ""fei"" being a standard rank for imperial consorts during her lifetime). Her actual name was Jiang Caipin (""江采蘋""), originally called Consort Jiang. After being told by her that she greatly favored Plum-Blossom flowers (the flower is pronounced as ""mei"" in Chinese), Emperor Xuanzong began to fondly address her as Consort Mei. Consort Mei was initially selected by Gao Lishi, a eunuch official of Emperor Xuanzong, to become one of Emperor Xuanzong's concubines in his harem. As Consort Mei was the most literate and talented concubines, she soon obtained Xuanzong's favors. To express the favors towards Consort Mei, Xuanzong commanded servants to plant Plum-Blossom trees all around her palace to please her interest. Xuanzong even lovingly complimented her beauty as more adorable than Zhao Feiyan, and swore that he would never change his heart for her. However, in 737, after the death of Consort Wu, another favorite concubine of Xuanzong, Xuanzong was deeply depressed until Gao Lishi convinced him to try looking at Yang Yuhuan - the wife of prince Li Mao, Xuanzong son with Consort Wu since her beauty was described as the most ""irresistible"". Being curious, Xuanzong ordered Yang Yuhuan to come and subsequently fell in love with her beauty. Since Yuhuan was still literally his daughter-in-law (as she was Li Mao's wife), emperor Xuanzong then stealthily arranged Yuhuan to become a Taoist nun, after a brief moment, Xuanzong eventually offered Yuhuan honorable title as Yang Guifei (with ""Guifei"" being the highest rank for imperial consorts) after bestowing his son Li Mao a new wife. Yuhuan became Xuanzong's most beloved consort as Xuanzong soon forgot about Consort Wu's death. His favors towards Consort Mei also waned. In 755, An Lushan began to create a rebellion (known as An Lushan Rebellion) in the palace. Emperor Xuanzong decided to bring Yang Guifei and his cortege along to flee from the capital Chang'an to Chengdu. Consort Mei was left behind then murdered during the rebellion.

M. S. Abdul Khader
M. S. Abdul Khader( c. 1932- 3 October 2009) was an Indian politician of the Dravida Munnetra Kazhagam( DMK) and later, Anna Dravida Munnetra Kazhagam. He served as mayor of Chennai and Member of Parliament.

The Olive Tree (1975 film)
The Olive Tree is a 1975 Australian TV film starring Alan Cassell and directed by Edgar Metcalfe. It was shot in Western Australia.

WADK
WADK (1540 AM) is a radio station licensed to serve Newport, Rhode Island. The station is owned by 3G Broadcasting, Inc. It airs a News/Talk format, with Jazz airing each weekend and local high school football and Salve Regina University college football home games during the autumn.

Walter Williams (footballer)
José Walter Williams Castillo( 30 September 1983 – 11 December 2018) was a Honduran soccer player who played as a defender for several clubs in the Honduran Liga Nacional.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?"
f9dcb4a60bda11eba7f7acde48001122,"The director of film ""Ronnie Rocket"" was born in Poland.","Missoula, Montana","SM UC-28
SM ""UC-28"" was a German Type UC II minelaying submarine or U-boat in the German Imperial Navy () during World War I. The U-boat was ordered on 29 August 1915 and was launched on 8 July 1916. She was commissioned into the German Imperial Navy on 6 August 1916 as SM ""UC-28"". In 0 patrols ""UC-28"" sank no ships. ""UC-28"" surrendered to France on 12 February 1919 and was broken up.

Raymund E. O'Mara
Major General Raymund E. O'Mara of United States Air Force, was tenth Director of the Defense Mapping Agency from June 1993 till his retirement in December 1994; with headquarters at Fairfax, Virginia. As director of DMA, O' Mara moved forward with the implementation of the Global Geospatial Information System, and also initiated the agency's reinvention task force.

College Tour
College Tour is a TV-show in the Netherlands, that interviews the most high-profile Dutch and international guests. Inspired by town hall meetings during United States elections, the majority of questions are asked by the audience. The show is hosted by news anchor Twan Huys, who conceived its format while working as U.S. correspondent in New York and Washington D.C. from 1999-2007.

Robert Silverberg
Robert Silverberg (born January 15, 1935) is an American author and editor, best known for writing science fiction. He is a multiple winner of both Hugo and Nebula Awards, a member of the Science Fiction and Fantasy Hall of Fame, and a Grand Master of SF. He has attended every Hugo Awards ceremony since the inaugural event in 1953.

Mairembam Koireng Singh
Mairembam Koireng Singh or"" Moirang Koireng"" was the first elected Chief Minister of Manipur, India.

Where was the director of film Ronnie Rocket born?"
019bed300bde11eba7f7acde48001122,Romania,Galați,"Tomorrow and Tomorrow and Tomorrow (short story)
"" Tomorrow and Tomorrow and Tomorrow"" is a short story by Kurt Vonnegut originally written in 1953. It was first published in"" Galaxy Science Fiction"" magazine in January 1954, where the story was titled"" The Big Trip Up Yonder"", which is the protagonist's euphemism for dying. A revised version bearing the title"" Tomorrow and Tomorrow and Tomorrow"" appeared in Vonnegut's collection of short stories,"" Canary in a Cat House""( 1961), and was reprinted in"" Welcome to the Monkey House""( 1968). The new title comes from the famous line in Shakespeare's play"" Macbeth"" starting"" Tomorrow and tomorrow and tomorrow"".

Life with the Lyons (film)
Life with the Lyons is a 1954 British comedy film directed by Val Guest and starring Bebe Daniels, Ben Lyon and Richard Lyon. It was a spin- off from the radio series"" Life with the Lyons"", and the screenplay was based on previous episodes from the show. The Lyon family attempt to acquire a new house in Marble Arch. It was followed in 1955 by"" The Lyons in Paris"". The Lyons' contract called for them to receive a percentage of the film's profits. After the film's successful release, the Lyons began a long- running, BBC television series, also titled"" Life with the Lyons"". The film was made at Southall Studios.

Deep Conversation
Deep Conversation is the fourth studio album by Vallejo, California rapper, Celly Cel. The album was released in 2000 for Realside Records and was produced by Celly Cel and Bosko. The album was not a commercial success, only making it to# 94 on the Top R&B/ Hip- Hop album chart, however the album spawned two singles,"" The Return of the Real Niggaz"" and"" Which One Is U?"". Guests included on the album are Kurupt, WC and Young Bleed.

Paulo Rocha (film director)
Paulo Soares da Rocha (22 December 1935 – 29 December 2012) was a Portuguese film director. Among his best-known films are ""A Ilha dos Amores"" and ""O Rio do OuroA Ilha dos Amores"" was entered into the 1982 Cannes Film Festival, ""O Desejado"" was entered into the main competition at the 44th edition of the Venice Film Festival, and ""O Rio do Ouro"" was screened in the Un Certain Regard section at the 1998 Festival.

St. Thomas Orthodox Theological Seminary, Nagpur
The St. Thomas Orthodox Theological Seminary is a seminary of the Malankara Orthodox Syrian Church.

Where was the father of Ștefan I. Nenițescu born?"
a7b9672009c311ebbdb0ac1f6bf848b6,No.,no,"Sergiu Nicolaescu
Sergiu Florin Nicolaescu (13 April 1930 – 3 January 2013) was a Romanian film director, actor and politician. He was best known for his historical films, such as ""Mihai Viteazul"" (1970, released in English both under the equivalent title ""Michael the Brave"" and also as ""The Last CrusadeDacii"" (1966, ""Les GuerriersRazboiul Independenței"" (1977, ""War of Independence""), as well as for his series of thrillers that take place in the interwar Kingdom of Romania, such as ""Un comisar acuză"" (1973, ""A Police Inspector Calls""). Joanna Pacuła starred in his film "" Ultima noapte de dragosteThe Last Night of Love"") in 1979 before eventually emigrating to the U.S. where he went on to a very successful career.

George Craig Stewart
George Craig Stewart (August 18, 1879 - May 2, 1940) was the sixth bishop of the Episcopal Diocese of Chicago from 1930 to 1940.

Raoul Servais
Raoul Servais( born 1 May 1928) is a Belgian filmmaker, animator, and comics artist. He is best known for the 1979 animated film"" Harpya"". At the 9th Magritte Awards, Servais received an Honorary Magritte Award from the Académie André Delvaux.

John Adams High School (Indiana)
John Adams High School( often referred to locally simply as Adams) is a public high school in South Bend, Indiana.

Bulworth
Bulworth is a 1998 American political satire comedy film co-written, co-produced, directed by, and starring Warren Beatty. It co- stars Halle Berry, Oliver Platt, Don Cheadle, Paul Sorvino, Jack Warden, and Isaiah Washington. The film follows the title character, California Senator Jay Billington Bulworth( Beatty), as he runs for re-election while trying to avoid a hired assassin. The film received generally positive reviews and a nomination for the Academy Award for Best Original Screenplay but was a box office failure, grossing$ 29.2 million on a$ 30 million budget.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?"
298f23b8088a11ebbd6eac1f6bf848b6,Love In Pawn. El Extraño Viaje: 1921 (director born 1937). Love In Pawn: 1936 (director born 1943).,El Extraño Viaje,"Henry Lowther, 3rd Earl of Lonsdale
Henry Lowther, 3rd Earl of Lonsdale (27 March 1818 – 15 August 1876) was a British nobleman and Conservative politician.

Here Come the Huggetts
Here Come the Huggetts is a 1948 British comedy film, the first of the Huggetts series, about a working class English family. All three films in the series were directed by Ken Annakin and released by Gainsborough Pictures. Jack Warner and Kathleen Harrison head the cast as factory worker Joe Huggett and his wife Ethel, with Petula Clark, Jane Hylton and Susan Shaw as their young daughters (all with the same first names as the actresses portraying them) and Amy Veness as their opinionated grandmother. Diana Dors had an early role. Joe and Ethel had been introduced a year earlier in the film ""Holiday Camp"" and there would be two sequels, ""Vote for Huggett"" and ""The Huggetts Abroad"" (both 1949).

High Society (Epik High album)
High Society is the second studio album in 2004 by Epik High.

Fanny Hill (1983 film)
Fanny Hill is a 1983 British erotic comedy film directed by Gerry O' Hara and starring Lisa Foster, Oliver Reed, Wilfrid Hyde- White and Shelley Winters. It is adapted from the novel"" Fanny Hill"" by John Cleland. It is also known as"" Sex, Lies and Renaissance"".

Warcraft (film)
Warcraft( alternatively known as Warcraft: The Beginning) is a 2016 American action fantasy film directed by Duncan Jones and written by Charles Leavitt and Jones. Based on the video game series of the same name, the film stars Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper, Toby Kebbell, Ben Schnetzer, Robert Kazinsky, Clancy Brown, and Daniel Wu. The film portrays the initial encounters between the humans and the orcs and takes place in a variety of locations established in the video game series. The film was first announced in 2006 as a project partnership between Legendary Pictures and the game's developer, Blizzard Entertainment. "" Warcraft"" premiered in Paris on May 24, 2016, and was released by Universal Pictures in the United States on June 10, 2016. Despite a disappointing domestic box office performance and the film and script receiving negative reviews from critics, the film has grossed$ 433 million worldwide, surpassing as the highest- grossing video game adaptation of all time, although it was still considered a financial disappointment.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?"
2ec440560bb011ebab90acde48001122,Cleopatra Thea.,Ptolemy IX Lathyros,"Cowboys & Aliens
Cowboys& Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford and Olivia Wilde. The film is based on the 2006 graphic novel of the same name created by Scott Mitchell Rosenberg. The plot revolves around an amnesiac outlaw( Craig), a wealthy cattleman( Ford), and a mysterious traveler( Wilde) who must ally to save a group of townspeople abducted by aliens. The screenplay was written by Roberto Orci, Alex Kurtzman, Damon Lindelof, Mark Fergus and Hawk Ostby, based on a screen story by the latter two along with Steve Oedekerk. The film was produced by Brian Grazer, Ron Howard, Kurtzman, Orci and Rosenberg, with Steven Spielberg and Favreau serving as executive producers. The project began development in April 1997, when Universal Pictures and DreamWorks Pictures bought film rights to a concept pitched by Rosenberg, former president at Malibu Comics, which he described as a graphic novel in development. After the graphic novel was published in 2006, development on the film was begun again, and Favreau signed on as director in September 2009. On a budget of$ 163 million, filming for"" Cowboys& Aliens"" began in June 2010, in New Mexico and California. Despite studio pressure to release the film in 3- D, Favreau chose to film traditionally and in anamorphic format( widescreen picture on standard 35 mm film) to further a"" classic movie feel"". Measures were taken to maintain a serious Western element despite the film's"" inherently comic"" title and premise. The film's aliens were designed to be"" cool and captivating"", with some details, such as a fungus that grows on their wounds, created to depict the creatures as frontiersmen facing adversity in an unfamiliar place. "" Cowboys& Aliens"" premiered at the 2011 San Diego Comic- Con and was released theatrically in the United States and Canada on, 2011. The film was considered to be a financial disappointment, taking$ 174.8 million in box office receipts on a$ 163 million budget. "" Cowboys& Aliens"" received mixed reviews, with critics generally praising its acting while criticizing other aspects.

The Found Bride
The Found Bride( Germany: Die gefundene Braut) is a 1925 German silent comedy film directed by Rochus Gliese and starring Xenia Desni, André Mattoni and Jenny Jugo. It premiered on 28 April 1925 at the Tauentzienpalast in Berlin.

Hasan Ahmed (cinematographer)
Hasan Ahmed is a Bangladeshi Cinematographer. He won the Bangladesh National Film Award for Best Cinematography three times for the films"" Ghrina""( 1994),"" Ghani""( 2006) and"" Gohine Shobdo""( 2010).

Polynesia
Polynesia (UK: / ˌpɒlɪˈniːziə /, US: / - ʒə /; from Greek: πολύς polys ``many ''and Greek: νῆσος nēsos`` island'') is a subregion of Oceania, made up of more than 1,000 islands scattered over the central and southern Pacific Ocean. The indigenous people who inhabit the islands of Polynesia are termed Polynesians, and share many similar traits including language family, culture, and beliefs. Historically, they had a strong tradition of sailing and using stars to navigate at night. The largest country in Polynesia is New Zealand.

Rectrix Aviation
Rectrix Aviation is a jet charter and commuter airline service that primarily serves New England, Florida and the east coast of the United States. Its commercial operations are based at Nantucket Memorial Airport and Barnstable Municipal Airport in Nantucket and Hyannis, Massachusetts, respectively. The only commercial flight it operates is between Nantucket and Hyannis. Rectrix Shuttle, the commuter service, was founded when Island Airlines of Nantucket shut down. Rectrix's charter flights are based at Sarasota, Florida, Bedford, Massachusetts, Hyannis, and Westfield, Massachusetts. Rectrix acquired its worldwide jet operating authority in 2009 with its acquisition of New World Jet Corporation.

Who is the maternal grandfather of Antiochus X Eusebes?"
05f8a691087b11ebbd67ac1f6bf848b6,Crimen A Las Tres.,The Working Class Goes To Heaven,"Jadval-e Darta Mokhtar
Jadval -e Darta Mokhtar( also Romanized as Jadval- e Dārtā Mokhtār; also known as Jadval- e Now and Jadval Now) is a village in Sarrud -e Jonubi Rural District, in the Central District of Boyer- Ahmad County, Kohgiluyeh and Boyer- Ahmad Province, Iran. At the 2006 census, its population was 39, in 8 families.

Clearwater River (Queets River)
The Clearwater River is a river situated on the Olympic Peninsula in Washington. It is the main tributary of the Queets River. The Clearwater River is long. Its drainage basin is in area. The Clearwater's main tributaries are the Snahapish River and the Solleks River.

Alief Kerr High School
Alief Kerr High School is a magnet school located in the Alief community, and in the limited purpose city limits of Houston, Texas, United States. The school is a part of the Alief Independent School District and serves grades 9 through 12. Kerr High School was awarded the Blue Ribbon School Award of Excellence by the United States Department of Education, the highest award an American school can receive, during the 2010- 11 school year. The school also received the award in 2016, one of only 26 Texas schools to receive the award. It is located in the International District.

I'll Never Forget That Night
I'll Never Forget That Night is a 1949 German comedy film directed by Johannes Meyer and starring Gustav Fröhlich, Winnie Markus and Paul Henckels. The film's sets were designed by the art director Erich Grave.

Naukar Biwi Ka
Naukar Biwi Ka is a 1983 Hindi movie starring Dharmendra, Anita Raj, Reena Roy, Vinod Mehra, Raj Babbar and Om Prakash. It was directed by Rajkumar Kohli. The film became a box office hit. The Anita Raj and Dharamendra pairing became a hit pair after the movie. Anita Raj slapped Dharamendra many times in the movie for a scene, but Dharamendra took it sportingly.. It was a remake of the hit Pakistani Punjabi movie ""Naukar Wohti Da"".

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?"
