Question ID,GPT Response,Ground Truth Answer,Prompt
8813f87c0bdd11eba7f7acde48001122,Kitty Marion.,Małgorzata Braunek,"Kitty Marion
Kitty Marion (12 March 1871 – 9 October 1944) was born Katherina Maria Schäfer in Germany. She immigrated to London in 1886 when she was fifteen, and she grew to minor prominence when she sang in music halls throughout the United Kingdom during the late 19th century. She became known in the field for standing up for female performers against agents, corruption, and for better working conditions. She joined the Women’s Social and Political Union (WSPU) in 1908, engaged in selling their newspaper ""Votes for Women"" and became a prominent suffragette in the United Kingdom for her participation in civil unrest protests including riots and arson. As a result, Marion was arrested many times and is known for having endured 232 force-feedings while on hunger strike in prison. She is quoted as saying “there are no words to describe the horrible revolting sensation.” When World War I started she emigrated to the United States, and there she joined the team on Margaret Sanger’s ""Birth Control Review"". Although she used her tenacity and loud voice to get people to pay attention to her cause, she did not use violence as much as she had in the United Kingdom, although she was still arrested many times for advocating birth control.

Russian State Social University
Russian State Social University (RSSU; Russian: Российский государственный социальный университет, abbreviated as РГСУ) was the first public university in the Russian Federation to offer undergraduate and graduate programmes in the field of social work. It is located in Moscow where positioned its three main historically important campuses. Russian State Social University is recognized as a fully accredited, state-owned, traditional institution. The current rector is Natalia Pochinok.

Gojeb River
The Gojeb River is eastward-flowing tributary of the Omo River in Ethiopia. It rises in the mountains of Guma, flowing in almost a direct line its confluence with the Omo at

Who is the mother of the director of film Polish-Russian War (Film)?"
61a46987092f11ebbdaeac1f6bf848b6,"""The Mask of Fu Manchu"" came out first.",The Mask Of Fu Manchu,"Hermann Krukenberg
Hermann Krukenberg (21 June 1863 – 3 October 1935) was a German surgeon who was a native of Calbe, Province of Saxony, Germany. He was the brother of pathologist Friedrich Ernst Krukenberg (1871–1946). Krukenberg studied medicine at the Universities of Bonn, Strassburg and Heidelberg. Afterwards he was a surgical assistant to Friedrich Trendelenburg (1844–1924) in Bonn, and to Max Schede (1844–1902) at Eppendorf Hospital in Hamburg. In 1892 he became manager of a private clinic in Halle an der Saale, and in 1899 was chief surgeon at the municipal hospital in Liegnitz. During World War I he served as a field surgeon. In 1917 he developed an operation known today as the ""Krukenberg procedure"". This procedure involves separation of the ulna and radius bones in order to convert a below-elbow amputation stump into a ""sensory forceps"" that receives its strength from the pronator teres muscle. Among his written works was a 1913 book on physiognomy titled ""Gesichtsausdruck des Menschen"".

Greatest Hits: The Sound of Money
Greatest Hits: Sound of Money is a compilation of American rock singer Eddie Money's biggest hits plus three new tracks: ""Peace in Our Time"", ""Looking Through the Eyes of a Child"" and ""Stop Steppin' on My Heart"". The disc was originally released in 1989 by Columbia Records. A remastered CD surfaced in 2009, released by SPV.

Peace or Violence
""Peace or Violence"" is a 2010 song by Belgian singer Stromae, released on 31 May as the fourth promo-single for his album ""Cheese"", on which it was included. The song has as yet only charted in Austria.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?"
e2a3bf2a0bdd11eba7f7acde48001122,1508.,12 June 1516,"Moju Chowdhury Hat
Moju Chowdhury Hat  is a market village and tourist center in Charramani Mohan Union of Lakshmipur Sadar Upazila in southeastern Bangladesh. According to ""Banglapedia"", the sluice gate on Lakshmipur Khal (canal) is a tourist attraction. and also known as an transport hub in the southeastern Bangladesh, per day Travelling passengers 10k+ Over.

Kåre Bergstrøm
Kåre Bergstrøm (3 February 1911 – 24 June 1976) was a Swedish-born photographer and film director who settled in Norway. Bergstrøm was born in Värmland. He was assigned with the film production company Norsk Film from 1933, and eventually became a photographer. He photographed Toralf Sandø's film ""Den forsvundne pølsemaker"" from 1941, Tancred Ibsen's film ""Den farlige leken"" from 1942, Rasmus Breistein's ""Trysil-Knut"" from 1942, and Alfred Maurstad's comedy ""En herre med bart"" from 1942. After World War II he photographed Edith Carlmar's film debut ""Døden er et kjærtegn"", and Ibsen's ""To mistenkelige personer"", which eventually was forbidden to be shown in public after a judgement by the Supreme Court of Norway. His first film as director was the love story ""Andrine og Kjell"" from 1952. He further directed the comedy ""Det kunne vært deg"" (1952), the war documentary ""Blodveien"" (1955), about Yugoslavian slave workers in Norway during World War II, the thriller ""Lake of the Dead "" (1958), based on a crime novel by André Bjerke, a biographical film about Hans Nielsen Hauge (1961), ""Klokker i måneskinn"" (1964), and the children's film ""Bjurra"" (1970).

Catholic University of Leuven (1834–1968)
The Catholic University of Leuven was founded in 1834 in Mechelen as the Catholic University of Belgium moved its seat to the town of Leuven in 1835, and changed its name to Catholic University of Leuven.

When did John V, Prince Of Anhalt-Zerbst's father die?"
0cd3bdea0bde11eba7f7acde48001122,Best Short Film at the Venice Film Festival,Myanmar Motion Picture Academy Awards,"Consort Mei
Consort Mei (died 755) was an imperial consort of the Chinese dynasty Tang Dynasty during the reign of Emperor Xuanzong of Tang. She was one of Emperor Xuanzong's favorite concubine, often known as Mei fei (with ""fei"" being a standard rank for imperial consorts during her lifetime). Her actual name was Jiang Caipin (""江采蘋""), originally called Consort Jiang. After being told by her that she greatly favored Plum-Blossom flowers (the flower is pronounced as ""mei"" in Chinese), Emperor Xuanzong began to fondly address her as Consort Mei. Consort Mei was initially selected by Gao Lishi, a eunuch official of Emperor Xuanzong, to become one of Emperor Xuanzong's concubines in his harem. As Consort Mei was the most literate and talented concubines, she soon obtained Xuanzong's favors. To express the favors towards Consort Mei, Xuanzong commanded servants to plant Plum-Blossom trees all around her palace to please her interest. Xuanzong even lovingly complimented her beauty as more adorable than Zhao Feiyan, and swore that he would never change his heart for her. However, in 737, after the death of Consort Wu, another favorite concubine of Xuanzong, Xuanzong was deeply depressed until Gao Lishi convinced him to try looking at Yang Yuhuan - the wife of prince Li Mao, Xuanzong son with Consort Wu since her beauty was described as the most ""irresistible"". Being curious, Xuanzong ordered Yang Yuhuan to come and subsequently fell in love with her beauty. Since Yuhuan was still literally his daughter-in-law (as she was Li Mao's wife), emperor Xuanzong then stealthily arranged Yuhuan to become a Taoist nun, after a brief moment, Xuanzong eventually offered Yuhuan honorable title as Yang Guifei (with ""Guifei"" being the highest rank for imperial consorts) after bestowing his son Li Mao a new wife. Yuhuan became Xuanzong's most beloved consort as Xuanzong soon forgot about Consort Wu's death. His favors towards Consort Mei also waned. In 755, An Lushan began to create a rebellion (known as An Lushan Rebellion) in the palace. Emperor Xuanzong decided to bring Yang Guifei and his cortege along to flee from the capital Chang'an to Chengdu. Consort Mei was left behind then murdered during the rebellion.

M. S. Abdul Khader
M. S. Abdul Khader( c. 1932- 3 October 2009) was an Indian politician of the Dravida Munnetra Kazhagam( DMK) and later, Anna Dravida Munnetra Kazhagam. He served as mayor of Chennai and Member of Parliament.

The Olive Tree (1975 film)
The Olive Tree is a 1975 Australian TV film starring Alan Cassell and directed by Edgar Metcalfe. It was shot in Western Australia.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?"
f9dcb4a60bda11eba7f7acde48001122,We do not have information about the birthplace of the film director Ronnie Rocket.,"Missoula, Montana","SM UC-28
SM ""UC-28"" was a German Type UC II minelaying submarine or U-boat in the German Imperial Navy () during World War I. The U-boat was ordered on 29 August 1915 and was launched on 8 July 1916. She was commissioned into the German Imperial Navy on 6 August 1916 as SM ""UC-28"". In 0 patrols ""UC-28"" sank no ships. ""UC-28"" surrendered to France on 12 February 1919 and was broken up.

Raymund E. O'Mara
Major General Raymund E. O'Mara of United States Air Force, was tenth Director of the Defense Mapping Agency from June 1993 till his retirement in December 1994; with headquarters at Fairfax, Virginia. As director of DMA, O' Mara moved forward with the implementation of the Global Geospatial Information System, and also initiated the agency's reinvention task force.

College Tour
College Tour is a TV-show in the Netherlands, that interviews the most high-profile Dutch and international guests. Inspired by town hall meetings during United States elections, the majority of questions are asked by the audience. The show is hosted by news anchor Twan Huys, who conceived its format while working as U.S. correspondent in New York and Washington D.C. from 1999-2007.

Where was the director of film Ronnie Rocket born?"
019bed300bde11eba7f7acde48001122,Romania.,Galați,"Tomorrow and Tomorrow and Tomorrow (short story)
"" Tomorrow and Tomorrow and Tomorrow"" is a short story by Kurt Vonnegut originally written in 1953. It was first published in"" Galaxy Science Fiction"" magazine in January 1954, where the story was titled"" The Big Trip Up Yonder"", which is the protagonist's euphemism for dying. A revised version bearing the title"" Tomorrow and Tomorrow and Tomorrow"" appeared in Vonnegut's collection of short stories,"" Canary in a Cat House""( 1961), and was reprinted in"" Welcome to the Monkey House""( 1968). The new title comes from the famous line in Shakespeare's play"" Macbeth"" starting"" Tomorrow and tomorrow and tomorrow"".

Life with the Lyons (film)
Life with the Lyons is a 1954 British comedy film directed by Val Guest and starring Bebe Daniels, Ben Lyon and Richard Lyon. It was a spin- off from the radio series"" Life with the Lyons"", and the screenplay was based on previous episodes from the show. The Lyon family attempt to acquire a new house in Marble Arch. It was followed in 1955 by"" The Lyons in Paris"". The Lyons' contract called for them to receive a percentage of the film's profits. After the film's successful release, the Lyons began a long- running, BBC television series, also titled"" Life with the Lyons"". The film was made at Southall Studios.

Deep Conversation
Deep Conversation is the fourth studio album by Vallejo, California rapper, Celly Cel. The album was released in 2000 for Realside Records and was produced by Celly Cel and Bosko. The album was not a commercial success, only making it to# 94 on the Top R&B/ Hip- Hop album chart, however the album spawned two singles,"" The Return of the Real Niggaz"" and"" Which One Is U?"". Guests included on the album are Kurupt, WC and Young Bleed.

Where was the father of Ștefan I. Nenițescu born?"
a7b9672009c311ebbdb0ac1f6bf848b6,No.,no,"Sergiu Nicolaescu
Sergiu Florin Nicolaescu (13 April 1930 – 3 January 2013) was a Romanian film director, actor and politician. He was best known for his historical films, such as ""Mihai Viteazul"" (1970, released in English both under the equivalent title ""Michael the Brave"" and also as ""The Last CrusadeDacii"" (1966, ""Les GuerriersRazboiul Independenței"" (1977, ""War of Independence""), as well as for his series of thrillers that take place in the interwar Kingdom of Romania, such as ""Un comisar acuză"" (1973, ""A Police Inspector Calls""). Joanna Pacuła starred in his film "" Ultima noapte de dragosteThe Last Night of Love"") in 1979 before eventually emigrating to the U.S. where he went on to a very successful career.

George Craig Stewart
George Craig Stewart (August 18, 1879 - May 2, 1940) was the sixth bishop of the Episcopal Diocese of Chicago from 1930 to 1940.

Raoul Servais
Raoul Servais( born 1 May 1928) is a Belgian filmmaker, animator, and comics artist. He is best known for the 1979 animated film"" Harpya"". At the 9th Magritte Awards, Servais received an Honorary Magritte Award from the Académie André Delvaux.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?"
298f23b8088a11ebbd6eac1f6bf848b6,Love In Pawn,El Extraño Viaje,"Henry Lowther, 3rd Earl of Lonsdale
Henry Lowther, 3rd Earl of Lonsdale (27 March 1818 – 15 August 1876) was a British nobleman and Conservative politician.

Here Come the Huggetts
Here Come the Huggetts is a 1948 British comedy film, the first of the Huggetts series, about a working class English family. All three films in the series were directed by Ken Annakin and released by Gainsborough Pictures. Jack Warner and Kathleen Harrison head the cast as factory worker Joe Huggett and his wife Ethel, with Petula Clark, Jane Hylton and Susan Shaw as their young daughters (all with the same first names as the actresses portraying them) and Amy Veness as their opinionated grandmother. Diana Dors had an early role. Joe and Ethel had been introduced a year earlier in the film ""Holiday Camp"" and there would be two sequels, ""Vote for Huggett"" and ""The Huggetts Abroad"" (both 1949).

High Society (Epik High album)
High Society is the second studio album in 2004 by Epik High.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?"
2ec440560bb011ebab90acde48001122,Antiochus the Great,Ptolemy IX Lathyros,"Cowboys & Aliens
Cowboys& Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford and Olivia Wilde. The film is based on the 2006 graphic novel of the same name created by Scott Mitchell Rosenberg. The plot revolves around an amnesiac outlaw( Craig), a wealthy cattleman( Ford), and a mysterious traveler( Wilde) who must ally to save a group of townspeople abducted by aliens. The screenplay was written by Roberto Orci, Alex Kurtzman, Damon Lindelof, Mark Fergus and Hawk Ostby, based on a screen story by the latter two along with Steve Oedekerk. The film was produced by Brian Grazer, Ron Howard, Kurtzman, Orci and Rosenberg, with Steven Spielberg and Favreau serving as executive producers. The project began development in April 1997, when Universal Pictures and DreamWorks Pictures bought film rights to a concept pitched by Rosenberg, former president at Malibu Comics, which he described as a graphic novel in development. After the graphic novel was published in 2006, development on the film was begun again, and Favreau signed on as director in September 2009. On a budget of$ 163 million, filming for"" Cowboys& Aliens"" began in June 2010, in New Mexico and California. Despite studio pressure to release the film in 3- D, Favreau chose to film traditionally and in anamorphic format( widescreen picture on standard 35 mm film) to further a"" classic movie feel"". Measures were taken to maintain a serious Western element despite the film's"" inherently comic"" title and premise. The film's aliens were designed to be"" cool and captivating"", with some details, such as a fungus that grows on their wounds, created to depict the creatures as frontiersmen facing adversity in an unfamiliar place. "" Cowboys& Aliens"" premiered at the 2011 San Diego Comic- Con and was released theatrically in the United States and Canada on, 2011. The film was considered to be a financial disappointment, taking$ 174.8 million in box office receipts on a$ 163 million budget. "" Cowboys& Aliens"" received mixed reviews, with critics generally praising its acting while criticizing other aspects.

The Found Bride
The Found Bride( Germany: Die gefundene Braut) is a 1925 German silent comedy film directed by Rochus Gliese and starring Xenia Desni, André Mattoni and Jenny Jugo. It premiered on 28 April 1925 at the Tauentzienpalast in Berlin.

Hasan Ahmed (cinematographer)
Hasan Ahmed is a Bangladeshi Cinematographer. He won the Bangladesh National Film Award for Best Cinematography three times for the films"" Ghrina""( 1994),"" Ghani""( 2006) and"" Gohine Shobdo""( 2010).

Who is the maternal grandfather of Antiochus X Eusebes?"
05f8a691087b11ebbd67ac1f6bf848b6,The Working Class Goes To Heaven,The Working Class Goes To Heaven,"Jadval-e Darta Mokhtar
Jadval -e Darta Mokhtar( also Romanized as Jadval- e Dārtā Mokhtār; also known as Jadval- e Now and Jadval Now) is a village in Sarrud -e Jonubi Rural District, in the Central District of Boyer- Ahmad County, Kohgiluyeh and Boyer- Ahmad Province, Iran. At the 2006 census, its population was 39, in 8 families.

Clearwater River (Queets River)
The Clearwater River is a river situated on the Olympic Peninsula in Washington. It is the main tributary of the Queets River. The Clearwater River is long. Its drainage basin is in area. The Clearwater's main tributaries are the Snahapish River and the Solleks River.

Alief Kerr High School
Alief Kerr High School is a magnet school located in the Alief community, and in the limited purpose city limits of Houston, Texas, United States. The school is a part of the Alief Independent School District and serves grades 9 through 12. Kerr High School was awarded the Blue Ribbon School Award of Excellence by the United States Department of Education, the highest award an American school can receive, during the 2010- 11 school year. The school also received the award in 2016, one of only 26 Texas schools to receive the award. It is located in the International District.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?"
645c9a5a08c311ebbd8dac1f6bf848b6,"""Once A Gentleman""",Once A Gentleman,"Jan Schütte
Jan Schütte( born 26 June 1957) is a German film director and screenwriter. He has directed twelve films since 1982. His film"" Abschied- Brechts letzter Sommer"" was screened in the Un Certain Regard section at the 2000 Cannes Film Festival.

Basil Goulding
Sir William Basil Goulding (4 November 1909 – 16 January 1982) was an Irish cricketer, squash player, art collector and prominent businessman.

Jesse O. Norton
Born in Bennington, Vermont, Norton attended Bennington Academy and was graduated from Williams College, Williamstown, Massachusetts, in 1835. Norton was a charter member of The Kappa Alpha Society and was awarded membership in Phi Beta Kappa. For four years he taught high school in Virginia and Missouri and then moved to Illinois where he studied law. He was admitted to the bar in 1840 and began practice in Joliet. Norton was a Probate Judge in 1846. He served as member of the state constitutional convention in 1847 and served as member of the Illinois House of Representatives in 1851 and 1852.

Which film has the director born first, Once A Gentleman or The Girl In White?"
5bec3cd408a711ebbd7fac1f6bf848b6,Il Seduttore,The Trial Of Joan Of Arc,"Intel 4004
The chip design started in April 1970, when Federico Faggin joined Intel, and it was completed under his leadership in January 1971. The first commercial sale of the fully operational 4004 occurred in March 1971 to Busicom Corp. of Japan for which it was originally designed and built as a custom chip. In mid-November of the same year, with the prophetic ad ``Announcing a new era in integrated electronics '', the 4004 was made commercially available to the general market. The 4004 was the first commercially available monolithic CPU, fully integrated in one small chip. Such a feat of integration was made possible by the use of the then - new silicon gate technology for integrated circuits, originally developed by Faggin (with Tom Klein) at Fairchild Semiconductor in 1968, which allowed twice the number of random - logic transistors and an increase in speed by a factor of five compared to the incumbent MOS aluminum gate technology. Faggin also invented the bootstrap load with silicon gate and the`` buried contact'', improving speed and circuit density compared with aluminum gate.

Lamas, Peru
Lamas is the capital of the Lamas Province, situated in the San Martín Region of northern Peru. There are 16,871 inhabitants, according to the 2007 census. The 2005 northern Peru earthquake shook Lamas, killing 5 people and injuring 174; hundreds were left homeless.

List of central lunar eclipses
A central lunar eclipse is a lunar eclipse in which part of the Moon passes through the center of Earth's shadow. This type of lunar eclipse typically appears darker than other lunar eclipses. It is relatively rare.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?"
