index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,"Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery uawski based on the novel Polish- Russian War under the white- red flag by Dorota Masowska.

Sprawa pilota Maresza is a Polish film directed by Leonard Buczkowski released in 1956. Based on a novel by Janusz Meissner, which was inspired by actual events. One of the first Polish features filmed in color.

Polish Wedding is a 1998 American comedy-drama film written and directed by Theresa Connelly. It was screened at the Sundance Film Festival on January 16, 1998 and Berlin International Film Festival on February 12. It was released in the U.S. on July 17. It takes place within the Polish American community of Hamtramck, Michigan – the childhood home of director Theresa Connelly – at some time between the 1950s and 1970s. Virtually all characters are Polish Americans, though the actors playing them are mostly of other ethnic origins. Kristen Bell appears in an uncredited role, making this her film debut.

Who is the mother of the director of film Polish-Russian War (Film)?",dorota maslowska,małgorzata braunek,0.4141135811805725,0.0,False
1,"The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

Les Trottoirs de Bangkok (English:  The Sidewalks of Bangkok, also known as Bangkok Interdit) is a 1984 erotic thriller film directed by Jean Rollin. The film was inspired by the 1932 Boris Karloff classic The Mask of Fu Manchu. In contrast to Rollin's usual themes of vampires, dream-like atmosphere and crumbling châteaus, Les Trottoirs des Bangkok mixes themes of adventure, crime and mystery with comic book dialogue, while still featuring naked women and sex, which his films were known for.

The Mask is a 1988 Italian romance film directed by Fiorella Infascelli. It was screened in the Un Certain Regard section at the 1988 Cannes Film Festival.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu came out first,the mask of fu manchu,0.8755524158477783,0.6764792400877006,False
2,"John II, Prince of Anhalt- Zerbst( died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the youngest son of Albert II, Prince of Anhalt- Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe- Wittemberg.

John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Podbrady, King of Bohemia.

John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?",4 february 1504,12 june 1516,0.5895808935165405,0.0,False
3,"Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung. The film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.

A Love Under an Umbrella , is a French short cinema film from 1950, directed by Jean Laviron, written by Paul Armont, and starring by Jacques-Henry Duval. It also features an uncredited performance by Louis de Funès.

The Girl in the Red Velvet Swing is a 1955 American film directed by Richard Fleischer from a screenplay by Walter Reisch and Charles Brackett, and starring Joan Collins, Ray Milland, and Farley Granger. The CinemaScope film was released by Twentieth Century- Fox, which had originally planned to put Marilyn Monroe in the title role, and then suspended her when she refused to do the film.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?","there is no information provided about any award won by the director of the film ""wearing velvet slippers under a golden umbrella""",myanmar motion picture academy awards,0.30981138348579407,0.0,False
4,"Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film EraserheadRonnie Rocket was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's The Elephant Man. Ronnie Rocket was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three-foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in Twin Peaks and Mulholland Drive as a result.

Rock'n Roll Revue is a 1955 American film directed by Joseph Kohn. The film was compiled for theatrical exhibition from the made-for-television short films produced by Snader and Studio Telescriptions, with newly filmed host segments by Willie Bryant. The film is also known as Harlem Rock 'n' Roll (in the United Kingdom) and Rock and Roll Review (American alternative title).

Ronnie Baxter( born 5 February 1961 in Blackpool, Lancashire) is a former World No. 1 English retired professional darts player. He used the nickname The Rocket for his matches. Baxter was known for his fast robotic throwing action. He currently resides in his hometown Blackpool. Baxter is widely regarded as one of the best players never to win a major tv title. He is still active on the exhibition circuit.

Where was the director of film Ronnie Rocket born?",david lynch,missoula montana,0.1525363326072693,0.0,False
5,"Georges de la Trémoille( c. 1382 – 6 May 1446) was Count de Guînes from 1398 to 1446 and Grand Chamberlain of France to King Charles VII of France. He sought reconciliation between Philip, Duke of Burgundy and Charles VII during their estrangement in the latter part of the Hundred Years' War. De la Trémoille was a political opponent of Arthur de Richemont within the French court. Most historians take a poor view of his career, assessing that he placed personal advancement before the public interest, though the traditional historical interpretation of the Grand Chamberlain as Jeanne d' Arc's opponent has been revised. La Trémoille was captured at Agincourt in 1415. He regained his freedom shortly afterward and dedicated the rest of his career to court life and diplomacy. He made an advantageous marriage to Joan II of Auvergne( 1378 – 1424), Countess of Auvergne and Boulogne( 1404 – 1424). De la Trémoille served the Burgundian court for several years, then joined the Armagnac court of Charles VII. La Trémoille became a royal favourite in 1427. He gained the title of Grand Chamberlain and was instrumental in Constable de Richemont's expulsion from the court that same year. Following Joan of Arc's successful campaign to Rheims for the coronation of Charles VII, la Trémoille delayed a march on Paris with fruitless peace negotiations. He may have been responsible for the lack of royal support that doomed her military actions thereafter. The historical consensus is that personal jealousies led him to undermine France's two best military commanders during a low point in the war. In September 1432 he paid for Rodrigo de Villandrando and his routiers to hold Les Ponts- de- Cé against the assaults of Jean de Bueil. That year de Richemont returned to court and imprisoned la Trémoille the following year. Charles VII did not intervene. His daughter Louise de la Trémoille( 1432 – 10 April 1474), Dame de Boussac, married Bertrand VI of Auvergne and had two children: He also had descents by his two mistresses; by Marie Guypaude, a daughter Marguerite( x and a son Jean the bastard of La Tremoïlle,( legitimated and ennobled in 1445), a large number of descendants); and by Marie La Championne, Jacques, the other bastard of La Tremoïlle, legitimized in 1466.

Louis Charles Marie de La Trémoille( 28 March 1863 –17 June 1921), 10th Duke of Thouars, 16th Count of Laval was a French nobleman and the son of Louis Charles de La Trémoille and his wife Marguerite Églé Jeanne Caroline Duchâtel( daughter of Count Charles Marie Tanneguy Duchâtel, Count Duchâtel and his wife Rosalie( Eglé) Paulée) La Trémoille was a deputy for Gironde from 1906 to 1919, and mayor of Margaux from 1904 to 1919. He was a member of the democratic left.

Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.

Where was the father of Ștefan I. Nenițescu born?",louis charles de la trémoille was born in france,galați,-0.025129085406661034,0.0,False
6,"tefan I. Neniescu (October 8, 1897–October 1979) was a Romanian poet and aesthetician. Born in Bucharest, his parents were the poet Ioan S. Neniescu and his wife Elena (née tefan). He attended Sapienza University of Rome from 1920, as well as the literature and philosophy department of Bucharest University. At first an assistant professor of aesthetics, he later became an associate professor at Bucharest. He served as press secretary and later economic adviser to the Romanian legation in The Hague. Neniescu's first publication was a 1915 article about William Shakespeare that appeared in Noua revist român. His first book of poetry, Denii (1919), was followed by Vraj (1923) and Ode italice (1925). His single volume of theatre was Trei mistere (1922). From 1924, he wrote for Gândirea, and was a founding member of Romania's PEN Club. He also contributed poetry and art criticism to Convorbiri LiterareIdeea europeanVremeaUniversul literarViaa RomâneascAdevrul and Arta plastic. In 1925, Neniescu published a treatise, Istoria artei ca filosofie a istoriei. He translated from Benedetto Croce (Aesthetic, 1922) and Niccolò Machiavelli (The Mandrake, 1926). Initially, Neniescu's poetry was discursive and religious, in line with the Gândirist current. His verse became progressively more hermetic, as can be seen in the anthology volume Ani (1973). Including texts published in the 1940s and '50s, it reveals the intellectualized lyric verse of an eminently classical nature.

Ioan S. Neniescu (April 11, 1854–February 23, 1901) was a Romanian poet and playwright. Born in Galai, his parents were tefan Vasiliu, a manual laborer, and his wife Elisabeta (née Zaharia). After completing the Alexandru Ioan I commercial school in his native town , he finished high school, passing the exit examination at Iai. He also audited courses at Iai University's literature faculty. Neniescu attended an officers' school, volunteered in the Romanian War of Independence and was wounded at Grivitsa. He then studied at the philosophy faculty of Berlin University, taking a doctorate in 1887 at Leipzig University with a thesis on Baruch Spinoza. He worked as a schoolteacher and inspector in Bucharest. He traveled south of the Danube, a trip that resulted in an ample ethnic and statistical study of the AromaniansDe la românii din Turcia European, 1895). He sat in the Assembly of Deputies for his native Covurlui County, and also served as prefect of Tulcea County in the Dobruja region. Neniescu's first work appeared in the Galai newspaper Gardistul civic. A member of Junimea, he published numerous poems in its organ Convorbiri Literare. He also contributed to AlbinaAmicul copiilorRevista nouRomânul literareztoarea and Ziarul presei. While in Bucharest from 1884 to 1888, he published ara nou magazine, mainly submitting articles on pedagogy, ethics and sociology. His first book was the 1880 poetry volume Flori de primvar, followed by oimii de la Rzboieni (1882) and Pui de lei (1891). Of the plays he wrote, the only one he published was Radu de la Afumai (1897). In 1896, Neniescu was elected a corresponding member of the Romanian Academy. He died in Buzu. His son tefan also became a poet.

tefan Niculescu( July 31, 1927 – January 22, 2008) was a Romanian composer. Niculescu was born in Moreni, Dâmbovita. He was credited with introducing his own brand of heterophony, a technique based on superimposing melodic material onto variations of itself in order to create textures that are propelled by thematic energy as well as by the more common textural factors of density and levels of activity. This creative approach bears similarities with György Ligeti's micropolyphony, but important aesthetic and stylistic differences set them apart. Niculescu's work as a teacher made him a mentor to a whole generation of younger Romanian composers, among them Dan Dediu. Niculescu's work Ison II for wind and percussion permutates simultaneous segments of a diatonic melody producing a reverberating complexity of sound which is held together by a strong sense of modal clarity.  Opus Dacicum for orchestra applies similar textural explorations but with a stronger sense of harmonic movement, often with a Wagnerian lushness that lends this music a sensuous appeal a world apart from Ligeti's cluster- oriented sonorities. Among his honors are many awards from the Romanian Academy and The Society of Romanian Composers. He also received awards from the Académie des Beaux- Arts in Paris( 1972), the International Record Critics Award( 1985), and the Herder Prize in Vienna( 1994). In the 1970s he contributed to the popularization of modern music by organizing public listenings in Bucharest together with erban Stnciulescu.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?",no,no,1.0,1.0,True
7,"North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Marion High School is an accredited public high school in Marion, Arkansas, United States. Established in 1911, Marion High School is one of four public high schools in Crittenden County and the only high school of the Marion School District.

Marion High School is a public high school in Marion, Kansas, USA. It is one of three schools operated by Marion USD 408, and is the sole high school in the district.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",el extraño viaje,el extraño viaje,0.9999998807907104,1.0000000000000002,True
8,"Love in Pawn is a 1953 British comedy film directed by Charles Saunders and starring Bernard Braden and Barbara Kelly.

A Lover in Pawn is a 1920 Swedish silent drama film directed by Victor Sjöström.

Pawn is a 2013 direct- to- video film directed by David A. Armstrong in his directorial debut.

Who is the maternal grandfather of Antiochus X Eusebes?",seleucus iv philopator,ptolemy ix lathyros,0.3144906759262085,0.0,False
9,"Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Annia Galeria Aurelia Faustina (c. 151-after 165) was the eldest child of the Roman emperor Marcus Aurelius and his wife, Faustina the Younger. Her younger sister was Lucilla and her younger brother was Commodus. Her maternal grandparents were Antoninus Pius and Faustina the Elder, while her paternal grandparents were Domitia Lucilla and praetor Marcus Annius Verus. She was born and raised in Rome. The parents of Faustina betrothed her to Gnaeus Claudius Severus, whom she later married after 159. Gnaeus Claudius Severus was a Roman Senator of Pontian Greek descent that came from Pompeiopolis, a city in the Roman province of Galatia. After Faustina married Claudius Severus, they settled in Pompeiopolis. Faustina bore Claudius Severus a son, Tiberius Claudius Severus Proculus, who served as consul in 200.

Antiochus X Eusebes Philopator (–92 or 88 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria between 95 BC and 92 BC or 89/88 BC (224 SE (Seleucid year)). He was the son of Antiochus IX and perhaps his Egyptian wife Cleopatra IV. He lived in a period during which there was a general disintegration of Seleucid Syria characterized by civil wars, foreign interference by Ptolemaic Egypt and incursions by the Parthians. Antiochus IX was killed in 95BC at the hands of Seleucus VI, the son of his half-brother and rival Antiochus VIII. Antiochus X then went to the city of Aradus where he declared himself king. He avenged his father by defeating Seleucus VI, who was eventually killed. Antiochus X did not enjoy a stable reign as he had to face three of Seleucus VI's brothers, Antiochus XI, Philip I and Demetrius III. Antiochus XI defeated AntiochusX and expelled him from the capital Antioch in 93 BC. A few months later, AntiochusX regained his position and killed Antiochus XI. This led to both Philip I and Demetrius III becoming involved. The civil war continued but its final outcome is uncertain due to the contradictions between different ancient historians' accounts. AntiochusX married his stepmother, Antiochus IX's widow Cleopatra Selene, and had several children with her, including a future king Antiochus XIII. The death of Antiochus X is shrouded in mystery. The year of his demise is traditionally given by modern scholars as 92 BC, but other dates are also possible including the year 224 SE (89/88BC). The most reliable account of his end is that of the first century historian Josephus, who wrote that AntiochusX marched east to fight off the Parthians who were attacking a queen called Laodice; the identity of this queen and who her people were continues to be debated. Other accounts exist: the ancient Greek historian Appian has AntiochusX defeated by the Armenian king Tigranes II and losing his kingdom; the third century historian Eusebius wrote that AntiochusX was defeated by his cousins and escaped to the Parthians before asking the Romans for help in having him reinstated on the throne. Modern scholars prefer the account of Josephus and question practically every aspect of the versions presented by other ancient historians. Numismatic evidence shows that AntiochusX was succeeded in Antioch by Demetrius III, who controlled the capital in SE (88/87 BC).

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","the director of ""crimen a las tres"" died first",the working class goes to heaven,-0.07525834441184998,0.0787446034559451,False
