Prompt;Response;Ground Truth
"Polish-Russian War (film)
Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish- Russian War under the white- red flag by Dorota Masłowska.

Who is the mother of the director of film Polish-Russian War (Film)?";Małgorzata Braunek;Małgorzata Braunek
"The Mask of Fu Manchu
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?";The Mask of Fu Manchu.;The Mask Of Fu Manchu
"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?";Before 1621;12 June 1516
"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?";Best Music Director Award (Hindi);Myanmar Motion Picture Academy Awards
"Ronnie Rocket
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.

Where was the director of film Ronnie Rocket born?";Missoula, Montana;Missoula, Montana
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where was the father of Ștefan I. Nenițescu born?";Romania.;Galați
"North Marion High School (Oregon)
North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?";No.;no
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?";"""El Extraño Viaje""";El Extraño Viaje
"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Who is the maternal grandfather of Antiochus X Eusebes?";Antiochus III the Great.;Ptolemy IX Lathyros
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?";"The director died first in ""The Working Class Goes To Heaven.""";The Working Class Goes To Heaven
