index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,"Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery uawski based on the novel Polish- Russian War under the white- red flag by Dorota Masowska.

Who is the mother of the director of film Polish-Russian War (Film)?",dorota masłowska,małgorzata braunek,0.5772087574005127,0.0,False
1,"The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu,the mask of fu manchu,1.0000001192092896,1.0000000000000002,True
2,"John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Podbrady, King of Bohemia.

When did John V, Prince Of Anhalt-Zerbst's father die?",late in 1516,12 june 1516,0.7640885710716248,0.20199309249791836,False
3,"Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung. The film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?",best director at the 1971 myanmar motion picture academy awards,myanmar motion picture academy awards,0.7688921689987183,0.5797386715376658,False
4,"Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film EraserheadRonnie Rocket was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's The Elephant Man.  Ronnie Rocket was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in Twin Peaks and Mulholland Drive as a result.

Where was the director of film Ronnie Rocket born?",missoula montana,missoula montana,1.0,1.0000000000000002,True
5,"Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.

Where was the father of Ștefan I. Nenițescu born?",romania,galați,0.2274143099784851,0.0,False
6,"tefan I. Neniescu (October 8, 1897–October 1979) was a Romanian poet and aesthetician. Born in Bucharest, his parents were the poet Ioan S. Neniescu and his wife Elena (née tefan). He attended Sapienza University of Rome from 1920, as well as the literature and philosophy department of Bucharest University. At first an assistant professor of aesthetics, he later became an associate professor at Bucharest. He served as press secretary and later economic adviser to the Romanian legation in The Hague. Neniescu's first publication was a 1915 article about William Shakespeare that appeared in Noua revist român. His first book of poetry, Denii (1919), was followed by Vraj (1923) and Ode italice (1925). His single volume of theatre was Trei mistere (1922). From 1924, he wrote for Gândirea, and was a founding member of Romania's PEN Club. He also contributed poetry and art criticism to Convorbiri LiterareIdeea europeanVremeaUniversul literarViaa RomâneascAdevrul and Arta plastic. In 1925, Neniescu published a treatise, Istoria artei ca filosofie a istoriei. He translated from Benedetto Croce (Aesthetic, 1922) and Niccolò Machiavelli (The Mandrake, 1926). Initially, Neniescu's poetry was discursive and religious, in line with the Gândirist current. His verse became progressively more hermetic, as can be seen in the anthology volume Ani (1973). Including texts published in the 1940s and '50s, it reveals the intellectualized lyric verse of an eminently classical nature.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?",no,no,1.0,1.0,True
7,"North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?","""love in pawn"" director born later",el extraño viaje,-0.017592407763004303,0.0,False
8,"Emilio Vieyra (12 October 1920 – 25 January 2010), sometimes credited as Raúl Zorrilla, was an Argentine film director, actor, screenwriter and film producer, between 1950 and the 1990s. He was born in Buenos Aires, Argentina. He is mostly known for his action and horror films, which were usually grounded in the exploitation genre. Vieyra began as an actor in 1950 in the film Hombres a precio and appeared in Ayer fue primavera in 1955. He began a career as a film director in 1962 with the comedy Dr. Cándido Pérez, señoras, and is most credited in this area of Argentine cinema. As both actor and director he appeared in the science fiction film Extraña invasión (1965), the Gothic horror film Sangre de vírgenes (1967), the horror film La Bestia desnuda (1971), the action film La Gran aventura (1974), the comedy Ángel, la Diva y Yo (1999) and the drama Cargo de conciencia (2005), which was his last acting role and last film. Shortly after he retired from filmmaking and died in 2010, aged 89.

Who is the maternal grandfather of Antiochus X Eusebes?",seleucus i nicator,ptolemy ix lathyros,0.2313588708639145,0.0,False
9,"Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",crimen a las tres,the working class goes to heaven,-0.012839451432228088,0.0,False
10,"Eugenio Martín is a Spanish film director and screenwriter. He was born in May 15, 1925 in Ceuta, an autonomous city of Spain located on the north coast of Africa. He is known for the low-budget genre films he made in the 1960s and 1970s, including Bad Man's RiverThe Bounty Killer, and Horror Express, the latter being particularly notable for its inclusion of the well-known English actors Christopher Lee and Peter Cushing, famous for their work with Hammer Films. Though never remarkably successful either at the box office or among critics, Martín's films, particularly Horror Express, have achieved cult status. The popular horror film magazine Fangoria included Horror Express in its book, 101 Best Horror Movies You've Never Seen: A Celebration of the World's Most Unheralded Fright Flicks.

Which film has the director born first, Once A Gentleman or The Girl In White?","""once a gentleman""",once a gentleman,0.8641881346702576,1.0000000000000002,True
11,"Danny Roane: First Time Director is a 2006 comedy film written, directed by and starring Andy Dick, and also starring Jack Black and Mo Collins. This independent production is a documentary mixed with a mockumentary on Dick's struggle on making a film.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",the director who died earlier is 'il seduttore',the trial of joan of arc,0.29000940918922424,0.06744304769296748,False
12,"Giuseppe Bennati (born in Pitigliano, Grosseto, 1921 – died in Milan, 26 September 2006) was an Italian film director and writer. He directed Il microfono e' vostro (1952) , Musoduro (1954), L'amico del giaguaro (1958), Labbra Rosse (1960), Congo vivo (1961) and L'assassino ha riservato nove poltrone (1974), his last movie. For RAI in 1970 he directed TV-movie BattleToads (Italo Calvino's bestseller) with Nanni Loy. He died in Milan, Italy, aged 85 from undisclosed causes.

Where was the director of film Thomas Jefferson (Film) born?","the director of the film ""thomas jefferson"" was born in the united states",brooklyn,0.06728404015302658,0.0,False
13,"Thomas Jefferson is a 1997 two-part American documentary film directed and produced by Ken Burns. It covers the life and times of Thomas Jefferson, the 3rd President of the United States. In the film Jefferson is portrayed as renaissance man. Not only was he a dedicated public servant, but was also a writer, an inventor, and a noted architect. Burns captures both the public and private person.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?",assassinated,stroke,0.12196031957864761,0.0,False
