index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,Who is the mother of the director of film Polish-Russian War (Film)?,raisa gorbacheva,małgorzata braunek,0.3064035177230835,0.0,False
1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu,the mask of fu manchu,1.0000001192092896,1.0000000000000002,True
2,"When did John V, Prince Of Anhalt-Zerbst's father die?",1603,12 june 1516,0.4320906400680542,0.0,False
3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,palme d'or,myanmar motion picture academy awards,0.04461608827114105,0.0,False
4,Where was the director of film Ronnie Rocket born?,david lynch,missoula montana,0.1525363326072693,0.0,False
5,Where was the father of Ștefan I. Nenițescu born?,romania,galați,0.2274143099784851,0.0,False
6,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,True
7,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",love in pawn,el extraño viaje,0.01267341710627079,0.0,False
8,Who is the maternal grandfather of Antiochus X Eusebes?,antiochus iv epiphanes,ptolemy ix lathyros,0.4579162299633026,0.0,False
9,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",the working class goes to heaven,the working class goes to heaven,1.0,1.0000000000000002,True
10,"Which film has the director born first, Once A Gentleman or The Girl In White?",once a gentleman,once a gentleman,1.0000001192092896,1.0000000000000002,True
11,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",the trial of joan of arc,the trial of joan of arc,1.0,1.0000000000000002,True
12,Where was the director of film Thomas Jefferson (Film) born?,virginia,brooklyn,0.20510193705558777,0.0,False
13,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,influenza complications,stroke,0.10659602284431458,0.0,False
14,Where was the place of death of the director of film Beat Girl?,london,nice,0.2563214898109436,0.0,False
15,"Who died first, Fleetwood Sheppard or George William Whitaker?",george william whitaker,fleetwood sheppard,0.27438703179359436,0.0,False
16,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",the raven's dance,the raven's dance,1.0,1.0000000000000002,True
17,When did Jean Martin (Singer)'s husband die?,2021,1983,0.39345282316207886,0.0,False
18,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",tangled destinies,tangled destinies,1.0,1.0000000000000002,True
19,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",moment of danger,moment of danger,1.0000001192092896,1.0000000000000002,True
20,What nationality is the director of film World And Time Enough?,canadian,united states,0.3296375572681427,0.0,False
21,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",poker in bed,the machine to kill bad people,0.10991297662258148,0.0,False
22,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?",heads i win tails you lose,heads i win tails you lose,1.0,1.0000000000000002,True
23,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",rupert iii elector palatine,rupert,0.5991028547286987,0.3799783615910079,False
24,Who is Marie Zéphyrine Of France's paternal grandmother?,maria josepha of saxony,marie leszczyńska,0.4473797380924225,0.0,False
25,"Which film has the director died earlier, Condemned Women or Faces In The Dark?",condemned women,condemned women,0.9999999403953552,1.0000000000000002,True
26,Who is the spouse of the director of film Eden And After?,nadine lortie,catherine robbe-grillet,0.14997239410877228,0.0,False
27,Where was the place of death of Anastasia Of Serbia's husband?,thessaloniki greece,hilandar,0.2645494043827057,0.0,False
28,Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,no,yes,0.3410777449607849,0.0,False
29,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",lo zappatore,placer sangriento,0.2677781581878662,0.0,False
30,Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,şemsettin baş,gwenc'hlan le scouëzec,0.3391636312007904,0.0,False
31,"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?",bhoomiyude avakashikal,bhoomiyude avakashikal,1.0,1.0000000000000002,True
32,Who is Cornelia (Wife Of Caesar)'s child-in-law?,agrippa,pompey,0.16218581795692444,0.0,False
33,Why did John Middleton Murry's wife die?,tuberculosis,tuberculosis,1.0,1.0,True
34,Who is the paternal grandfather of Taj Al-Dawla?,adud al-dawla,rukn al-dawla,0.7500593066215515,0.5031026124151314,False
35,Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,yes,yes,1.0,1.0,True
36,What is the place of birth of the director of film And The Spring Comes?,seoul south korea,xi'an,0.239523246884346,0.0,False
37,"Who died first, Madame Pasca or James A. Donohoe?",madame pasca,madame pasca,0.9999999403953552,1.0000000000000002,True
38,"Who was born later, D'Arcy Coulson or Thomas William Adams?",thomas william adams,d'arcy coulson,0.29606902599334717,0.0,False
39,Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?,no,no,1.0,1.0,True
40,Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?,france,german,0.41905468702316284,0.0,False
41,"Which film whose director was born first, 45 Fathers or The Intended?",45 fathers,45 fathers,1.0,1.0000000000000002,True
42,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",louis-françois berthier,louis-alexandre berthier,0.9080561399459839,0.5031026124151314,False
43,Where was the husband of Caterina Visconti born?,gonzalo fernández de córdoba,pavia,0.2149655818939209,0.0,False
44,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",a quiet place in the country,a quiet place in the country,1.0,1.0000000000000002,True
45,"Who was born first, John Beach or Gordon Persons?",gordon persons,john beach,0.14140310883522034,0.0,False
46,"Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?",charlie chan in honolulu,charlie chan in honolulu,1.0,1.0,True
47,Who is the child of the director of film La Leona (Film)?,rosalind ross,víctor bó,0.14842842519283295,0.0,False
48,Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,matilda of savoy,urraca of castile,0.17997953295707703,0.20199309249791836,False
49,"Who lived longer, Giuseppe Cesari or Nicos Poulantzas?",nicos poulantzas,giuseppe cesari,0.2693791389465332,0.0,False
50,Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,yes,yes,1.0,1.0,True
51,"Who is older, Aryeh Ben-Eliezer or Jason Pociask?",aryeh ben-eliezer,aryeh ben-eliezer,1.0,1.0000000000000002,True
52,Where does the director of film Man At Bath work at?,museum of modern art,cahiers du cinéma,0.49750036001205444,0.0,False
53,"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?",arthur gore 2nd earl of arran's paternal grandfather is arthur gore 1st earl of arran,sir arthur gore 2nd baronet,0.6055336594581604,0.29762225697745387,False
54,Are both Kaufland and Otrag located in the same country?,no,yes,0.3410777449607849,0.0,False
55,"Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?",aanaval mothiram,heroes of the street,0.0041358210146427155,0.0,False
56,Where was the father of Lord Patrick Crichton-Stuart born?,scotland,london,0.5543192028999329,0.0,False
57,Which country the director of film Daadagiri is from?,india,pakistan,0.49524787068367004,0.0,False
58,Where was the wife of Douglas Leiterman born?,london england,winnipeg manitoba,0.1964428424835205,0.0,False
59,What is the place of birth of the performer of song Who...?,canada,fukuoka,0.32482022047042847,0.0,False
60,Where was the place of death of the director of film Mole Men Against The Son Of Hercules?,rome italy,roma,0.5899782776832581,0.0,False
61,Where was the father of Alexandre Gaydamak born?,ukraine,moscow ussr,0.5183604955673218,0.0,False
62,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",toen 't licht verdween,toen 't licht verdween,1.0,1.0000000000000002,True
63,"Who is Gaston, Duke Of Orléans's paternal grandmother?",henriette d'orléans,jeanne d'albret,0.6003530621528625,0.0,False
64,Where was the director of film The Half-Way Girl born?,germany,new york,0.28968003392219543,0.0,False
65,Who is the father-in-law of Sophia Of Wittelsbach?,maximilian i joseph,louis ii,0.6055288314819336,0.0,False
66,"Where was the place of death of Lambert I, Count Of Louvain's father?",diest,bohemia,-0.04149143025279045,0.0,False
67,Where was the director of film Highway Dragnet born?,chicago,gura humorului,0.05728598311543465,0.0,False
68,Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?,queen maria sophia of naples and sicily died in düsseldorf,meran,0.005868246778845787,0.0,False
69,What is the award that the performer of song Sunday Papers earned?,grammy,grammy,0.9999998807907104,1.0,True
70,"Which film has the director born first, Antonieta or Dodging The Dole?",antonieta,dodging the dole,0.1473858505487442,0.0,False
71,Are both Nikolsk Airport and Svobodny Airport located in the same country?,yes,yes,1.0,1.0,True
72,"Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?",amadeus ix duke of savoy,peter i,0.17555737495422363,0.0,False
73,"Are both businesses, Telus and Ztr Control Systems, located in the same country?",no,yes,0.3410777449607849,0.0,False
74,"Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?",yes (uk),yes,0.6971015930175781,0.5797386715376658,False
