Prompt;Response;Ground Truth
"Sitora Alieva
Sitora Shokhinovna Alieva – film expert, director of the IFF “ Faces of love ” and the IIF Sochi, artistic director of the largest Russian national film festival “ Kinotavr ”, Russian Ministry of Culture film expert, lecturer at film schools and universities, juror at numerous film festivals, including Berlinale, Venice Film Festival, etc.

The Last Family
The Last Family  is a 2016 Polish biographical film directed by Jan P. Matuszyński. The film won the Golden Lions for best film at the 2016 Gdynia Film Festival.

Mother (1999 film, Russia)
Mother is a feature film based on real events the capture of an Ovechkin family in 1988.

Who is the mother of the director of film Polish-Russian War (Film)?";Sitora Alieva.;Małgorzata Braunek
"The Face of Fu Manchu
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.

The Castle of Fu Manchu
The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.

The Mysterious Dr. Fu Manchu
The Mysterious Dr. Fu Manchu is a 1929 American pre-Code drama film directed by Rowland V. Lee and starring Warner Oland as Dr. Fu Manchu. It was the first Fu Manchu film of the talkie era. Since this was during the transition period to sound, a silent version was also released in the United States.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?";The Mask of Fu Manchu.;The Mask Of Fu Manchu
"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

John II, Prince of Anhalt-Zerbst
John II, Prince of Anhalt-Zerbst (died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the youngest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.

Karl I, Prince of Anhalt-Zerbst
Karl I of Anhalt-Zerbst (17 November 1534 in Dessau – 4 May 1561 in Zerbst), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the eldest son of John V, Prince of Anhalt-Zerbst, by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?";John V, Prince of Anhalt-Zerbst's father died in 1544.;12 June 1516
"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

Bengal Film Journalists' Association – Best Art Director
Here is a list of the award winners and the films for which they won.

Golden Lotus Award for Best Actor
Golden Lotus Award for Best Actor is one of the main categories of competition of the Golden Lotus Awards. It is awarded to leading male actor( s) who have outstanding performance in motion pictures.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?";Best Music Director Award (Hindi);Myanmar Motion Picture Academy Awards
"Rocket Girl (disambiguation)
Rocket Girl or Girls in plural may refer to:

Guardians of the Galaxy (film)
Bradley Cooper as Rocket: A genetically engineered raccoon - like bounty hunter and mercenary who is a master of weapons and battle tactics. Gunn worked with live raccoons to get the correct feel for the character, and to make sure it was ``not a cartoon character '', saying,`` It's not Bugs Bunny in the middle of the Avengers, it's a real, little, somewhat mangled beast that's alone. There's no one else in the universe quite like him, he's been created by these guys to be a mean - ass fighting machine.'' Gunn also based the character on himself. Describing Rocket in relation to the rest of the Guardians, Cooper said, ``I think Rocket is dynamic. He's the sort of Joe Pesci in Goodfellas guy. ''Cooper voiced Rocket, while Sean Gunn (James' younger brother) stood in for the character during filming. James Gunn said that for the role of Rocket, some physical movement from Cooper, including facial expressions and hand movements, was recorded as potential reference for the animators, though much of Sean Gunn's acting is used throughout the film. Before Cooper was cast, James Gunn said that it was a challenge finding a voice for Rocket, that he was looking for someone that could balance`` the fast - talking speech patterns that Rocket has, but also can be funny, because he is really funny. But also has the heart that Rocket has. Because there are actually some pretty dramatic scenes with Rocket.''

Heather Parry
Heather Parry( born 1971) is a television and film producer. She is best known for Pixels( 2015), The House Bunny( 2008) and A Star Is Born( 2018).

Where was the director of film Ronnie Rocket born?";Nowhere listed.;Missoula, Montana
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who's Your Daddy?
Who's Your Daddy may refer to:

Where was the father of Ștefan I. Nenițescu born?";Romania;Galați
"Marion High School (Indiana)
Marion High School is a high school in Marion, Indiana with more than 1,000 students.

North Bend High School
North Bend High School is a public high school in North Bend, Oregon, United States.

North Eugene High School
North Eugene High School is a public high school in the River Road/ Santa Clara neighborhoods of Eugene, Oregon, United States.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?";No.;no
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Viaje (film)
Viaje is a 2015 Costa Rican romance film directed and written by Paz Fábrega. It had its world premiere at the 2015 Tribeca Film Festival, where it met with positive reviews. The film is shot in black- and- white.

The Red Fish
The Red Fish( Spanish: Los peces rojos) is a 1955 Spanish thriller film directed by José Antonio Nieves Conde. and written by Carlos Blanco. Original idea by Carlos Blanco. Spanish film noir classic movie, praised by critics as one of the top ten Spanish films ever made. It ’s a psychological thriller fueled by a remarkably intriguing premise Ivón, a chorus girl, and Hugo, a failed writer, turn up at a provincial hotel on a stormy night. They have come from Madrid with Carlos, Hugo ’s son, born nineteen years earlier after a casual affair. They decide to lean over the cliffs to look at the angry waves down below – and Carlos falls to his death.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?";Love In Pawn;El Extraño Viaje
"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Laodice of the Sameans
Laodice was a Queen of an unknown Kingdom in Asia. She lived at the time of the Seleucid king of Syria Antiochus X Eusebes who reigned 95 BC- 92 or 88 BC.

Laodice (wife of Mithridates III of Pontus)
Laodice (fl. late 3rd – early 2nd centuries BCE) was a Greek Princess from the Seleucid Empire and the wife of King Mithridates III of Pontus. Laodice appears to have come from obscure origins. Laodice could have been a supposed daughter of the Seleucid King Antiochus IV Epiphanes. This is based on the assumption that the sister of Alexander Balas who appeared in Rome with him in 153 BC as a genuine daughter of Antiochus IV Epiphanes was the Laodice who married Mithridates III. Antiochus IV Epiphanes had two daughters who were Laodice VI from this marriage to his sister-wife Laodice IV and his other daughter was Antiochis the child from his concubine. However this assumption shows that Antiochus IV Epiphanes may have had another daughter called Laodice, however this is not certain. The assumption shows that there could some confusion about the identity of this Laodice and Laodice VI. Laodice bore Mithridates III three children: Mithridates IV of Pontus, Pharnaces I of Pontus and Laodice.

Who is the maternal grandfather of Antiochus X Eusebes?";Antiochus IV Epiphanes.;Ptolemy IX Lathyros
"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Godfather Mendoza
In 1994, the Mexican magazine ""Somos"" published a list of ""The 100 best movies of the cinema of Mexico"" in its 100th edition and choose ""El compadre Mendoza"" the 3rd better of all time, just behind ""Vámonos con Pancho Villa"" and ""Los olvidados"".

La muerte de un burócrata
La muerte de un burócrata (Death of a Bureaucrat) is a 1966 comedy film by Cuban director Tomás Gutiérrez Alea which pokes fun at the Communist bureaucracy and red tape and how it affects the lives of the common people who have to waste time and overcome hurdles just to get on with their ordinary lives. The story begins with the death of a model worker, who is buried with his labor card as a badge of honor. However, his widow is told she needs that card to claim the benefits she is entitled to. The story then takes several surreal turns, as the family of the dead man tries to recover the precious card from the grave. As they succeed to do so, the bureaucracy grows into a formidable enemy: Their wish to re-bury the husband is turned down, because all the official documents show he already has been buried...

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?";"The director of ""The Working Class Goes To Heaven"" died first.";The Working Class Goes To Heaven
