index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,"Sitora Alieva
Sitora Shokhinovna Alieva – film expert, director of the IFF “ Faces of love ” and the IIF Sochi, artistic director of the largest Russian national film festival “ Kinotavr ”, Russian Ministry of Culture film expert, lecturer at film schools and universities, juror at numerous film festivals, including Berlinale, Venice Film Festival, etc.

Who is the mother of the director of film Polish-Russian War (Film)?",sitora alieva,małgorzata braunek,0.2882676124572754,0.0,False
1,"The Face of Fu Manchu
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu,the mask of fu manchu,1.0000001192092896,1.0000000000000002,True
2,"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?",1621,12 june 1516,0.33812397718429565,0.0,False
3,"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?",best music director award (hindi),myanmar motion picture academy awards,0.3322734236717224,0.0,False
4,"Rocket Girl (disambiguation)
Rocket Girl or Girls in plural may refer to:

Where was the director of film Ronnie Rocket born?",david lynch,missoula montana,0.1525363326072693,0.0,False
5,"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where was the father of Ștefan I. Nenițescu born?",bucharest,galați,0.2955142557621002,0.0,False
6,"Marion High School (Indiana)
Marion High School is a high school in Marion, Indiana with more than 1,000 students.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?",no,no,1.0,1.0,True
7,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?","""love in pawn""",el extraño viaje,-0.01841297186911106,0.0,False
8,"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Who is the maternal grandfather of Antiochus X Eusebes?",antiochus iii the great,ptolemy ix lathyros,0.4855457544326782,0.0,False
9,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","""the working class goes to heaven""",the working class goes to heaven,0.9076636433601379,1.0000000000000002,True
10,"The Woman in White
The Woman in White may refer to:

Which film has the director born first, Once A Gentleman or The Girl In White?",once a gentleman (dir born in 1860) the girl in white (dir born in 1891),once a gentleman,0.49411627650260925,0.20975539627821693,False
11,"Joan the Maid
Joan the Maid  is a two-part 1994 French historical film directed by Jacques Rivette. It chronicles the life of Joan of Arc. This film was released in two parts: Joan the Maid, Part 1: The Battles  and Joan the Maid, Part 2: The Prisons .

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",il seduttore,the trial of joan of arc,0.14153823256492615,0.0,False
12,"Thomas Jefferson Medal
The Thomas Jefferson Medal may refer to several different awards named in honor of Thomas Jefferson:

Where was the director of film Thomas Jefferson (Film) born?",new york city,brooklyn,0.6361627578735352,0.0,False
13,"Grand Duke George of Russia
There have been several dynasts of Russian Imperial House whose name is George: Currently, also son of Maria Vladimirovna of Russia, uses the designation Grand Duke George Mikhailovitch of Russia.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?",complications during surgery,stroke,0.11502738296985626,0.0,False
14,"Where's the Love (disambiguation)
"" Where's the Love"" is a 1997 song by Hanson. Where's the Love may also refer to:"" Where's the Love"" should not be confused with:

Where was the place of death of the director of film Beat Girl?",united kingdom,nice,0.19661393761634827,0.0,False
15,"John Sheppard (VC)
Sheppard was 37 years old, and a Boatswain's Mate in the Royal Navy, serving with the Naval Brigade during the Crimean War when the following deed took place for which he was awarded the VC.

Who died first, Fleetwood Sheppard or George William Whitaker?",fleetwood sheppard,fleetwood sheppard,1.0000001192092896,1.0000000000000002,True
