Prompt;Response;Ground Truth
Who is the mother of the director of film Polish-Russian War (Film)?;Raisa Gorbacheva;Małgorzata Braunek
Which film came out first, Blind Shaft or The Mask Of Fu Manchu?;The Mask Of Fu Manchu.;The Mask Of Fu Manchu
When did John V, Prince Of Anhalt-Zerbst's father die?;1603.;12 June 1516
What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?;Palme d'Or;Myanmar Motion Picture Academy Awards
Where was the director of film Ronnie Rocket born?;David Lynch.;Missoula, Montana
Where was the father of Ștefan I. Nenițescu born?;Romania.;Galați
Are North Marion High School (Oregon) and Seoul High School both located in the same country?;No.;no
Which film has the director who was born later, El Extraño Viaje or Love In Pawn?;Love In Pawn.;El Extraño Viaje
Who is the maternal grandfather of Antiochus X Eusebes?;Antiochus IV Epiphanes;Ptolemy IX Lathyros
Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?;The Working Class Goes To Heaven.;The Working Class Goes To Heaven
Which film has the director born first, Once A Gentleman or The Girl In White?;Once A Gentleman.;Once A Gentleman
Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?;The Trial Of Joan Of Arc.;The Trial Of Joan Of Arc
Where was the director of film Thomas Jefferson (Film) born?;Virginia;Brooklyn
Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?;Influenza complications.;stroke
Where was the place of death of the director of film Beat Girl?;London;Nice
Who died first, Fleetwood Sheppard or George William Whitaker?;George William Whitaker.;Fleetwood Sheppard
Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?;The Raven's Dance.;The Raven'S Dance
When did Jean Martin (Singer)'s husband die?;2021;1983
Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?;Tangled Destinies;Tangled Destinies
Which film was released earlier, Moment Of Danger or The Ballad Of Josie?;Moment Of Danger;Moment Of Danger
What nationality is the director of film World And Time Enough?;Canadian;United States
Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?;Poker In Bed.;The Machine To Kill Bad People
Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?;Heads I Win, Tails You Lose.;Heads I Win, Tails You Lose
Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?;Rupert III, Elector Palatine.;Rupert
Who is Marie Zéphyrine Of France's paternal grandmother?;Maria Josepha of Saxony.;Marie Leszczyńska
Which film has the director died earlier, Condemned Women or Faces In The Dark?;Condemned Women.;Condemned Women
Who is the spouse of the director of film Eden And After?;Nadine Lortie.;Catherine Robbe-Grillet
Where was the place of death of Anastasia Of Serbia's husband?;Thessaloniki, Greece.;Hilandar
Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?;No.;yes
Which film was released more recently, Lo Zappatore or Placer Sangriento?;Lo Zappatore.;Placer Sangriento
Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?;Şemsettin Baş.;Gwenc'Hlan Le Scouëzec
Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?;Bhoomiyude Avakashikal;Bhoomiyude Avakashikal
Who is Cornelia (Wife Of Caesar)'s child-in-law?;Agrippa.;Pompey
Why did John Middleton Murry's wife die?;Tuberculosis.;tuberculosis
Who is the paternal grandfather of Taj Al-Dawla?;Adud al-Dawla;Rukn al-Dawla
Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?;Yes.;yes
What is the place of birth of the director of film And The Spring Comes?;Seoul, South Korea.;Xi'an
Who died first, Madame Pasca or James A. Donohoe?;Madame Pasca.;Madame Pasca
Who was born later, D'Arcy Coulson or Thomas William Adams?;Thomas William Adams.;D'Arcy Coulson
Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?;No.;no
Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?;France;German
Which film whose director was born first, 45 Fathers or The Intended?;45 Fathers.;45 Fathers
Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?;Louis-François Berthier;Louis-Alexandre Berthier
Where was the husband of Caterina Visconti born?;Gonzalo Fernández de Córdoba.;Pavia
