Question ID,GPT Response,Ground Truth Answer,Prompt
123d4cf40bdb11eba7f7acde48001122,Liverpool.,Liverpool,"George Hunt (trombonist)
George Hunt( c. 1906 – c. 1946) was an American jazz trombonist, best known for his performances and recordings with the Count Basie Orchestra in the late 1930s. Born in Chicago, his professional career began in Bennie Moten's band in 1932. After Moten's death in 1935 he joined the Count Basie Orchestra, traveling to perform in New York City with them in 1936. He left the Basie band the following year, and joined Fletcher Henderson before leaving in 1938. He returned to Chicago, and later that year performed in the Earl Hines band. He also played with Artie Starck and Erskine Tate. He committed suicide in Chicago in about 1946.

Blood and Bone
Blood and Bone is a 2009 American direct- to- DVD martial arts film directed by Ben Ramsey and written by Michael Andrews. The film stars Michael Jai White, Eamonn Walker and Julian Sands, and features martial artist Matt Mullins, former professional wrestler Ernest"" The Cat"" Miller, MMA fighters Bob Sapp, Kimbo Slice, Maurice Smith, and Gina Carano and former professional bodybuilder Melvin Anthony.

The Platinum Brothers
The Platinum Brothers are an American record production duo based in Atlanta, Georgia. Consisting of Adam Gibbs and Mike Chesser, the duo produced"" Let's Chill"" and"" So Hot"" from Charlie Wilson's album Charlie, Last Name Wilson which has gone on to sell over 300,000 copies. In 2002, The Platinum Brothers provided the beats to Bone Thugs- N- Harmony's Thug World Order. In August 2004, they sat on the"" Super Producers Panel"" at Billboard magazine's fifth annual R&B and Hip- Hop Conference Awards in Miami Beach, Florida. In 2005, they contributed to Charlie, Last Name Wilson. They were featured in 2006 on Bone Thugs and Harmony's Koch Records release entitled Thug Stories. The Platinum Brothers also produced the current single"" On The Radio"" from Deemi's album entitled Soundtrack Of My Life. They have also produced for artists such as Bone Thugs and Harmony, Bella, Q. Amey, Will Smith, and 4 songs from Nivea( singer)'s 2005 album entitled' Complicated. The Platinum Brothers have been featured on episode 3 of BET's TV show, TBA( Bone Thugs- n- Harmony album), and The Movement( Mo Thugs album) and currently are featured on the upcoming albums Brave( Jennifer Lopez album) by Jennifer Lopez and Back Of My Lac by J. Holiday.

Jung Sung-ho
Jung Sung- Ho is a South Korean football player who plays for Chungju Hummel FC. He appeared 2 matches only League Cup in FC Seoul.

Remember (John Lennon song)
""Remember"" is a 1970 song appearing on John Lennon's first official solo album release, ""John Lennon/Plastic Ono Band"".

Real Love (Beatles song)
``Real Love ''Song by John Lennon from the album Imagine: John Lennon Released 10 October 1988 Recorded New York City Length 2: 48 Label Parlophone EMI Songwriter (s) John Lennon Producer (s) George Martin John Lennon Yoko Ono Phil Spector Jack Douglas

Live in New York City (John Lennon album)
Live in New York City is a posthumous live album by English rock musician John Lennon with the Plastic Ono Elephant's Memory Band. It was prepared under the supervision of his widow, Yoko Ono, and released in 1986 as his second official live album, the first being"" Live Peace in Toronto 1969"".

Julian Lennon
Julian Lennon was born on 8 April 1963 in Liverpool. He was named after his paternal grandmother, Julia Lennon. The Beatles' manager, Brian Epstein, was his godfather.

Born in a Prison
""Born in a Prison"" is a song written by Yoko Ono and first released on her 1972 album with John Lennon ""Some Time in New York City"".

Where was the performer of song Remember (John Lennon Song) born?"
0926667308d011ebbd95ac1f6bf848b6,Eliza Ritchie.,Benjamin Nash,"Unnikrishnan Puthur
Born in the village of Engandiyur, in Thrissur district of Kerala, as the son of Chulliparambil Sankunni Nair and Puthur Janaki Amma, Unnikrishnan Puthur studied at the Chavakkad Board School and Government Victoria College, Palakkad. He started his career in college and parallelly worked as a newspaper correspondent for two years. Then he joined to Guruvayur Sreekrishna temple Devaswom office as a clerk and retired as head of the establishment wing of the Guruvayur Devaswom Library in the year 1987. He was a trade union leader and a socialist. He was nominated to the Temple Managing Committee as the representative of the temple employees.

Robert Thalheim
Robert Thalheim (born July 2, 1974 in Berlin) is a German stage and film director and screenwriter. Thalheim was an assistant director at the ""Berliner Ensemble"" in 1997/98. He then studied modern German literature, history and politics at the Free University of Berlin until the year 2000; during this period he edited the first issues of the culture magazine ""Plotky"". In 2000 he began to study film directing at the ""Filmhochschule"" (film school) in Potsdam-Babelsberg. His teacher there was Rosa von Praunheim, who monitored his work on his first films. Robert Thalheim returned to the theatre in 2003, staging his own play, ""Wild Boys"" at the Maxim Gorki Theater in Berlin. In 2004 his debut film Netto was awarded the Art of Film Award at the Festival of German Film. In 2006 he finished his film for the diploma exam, ""And Along Come TouristsAm Ende kommen Touristen""). The film was shot on location at the International Youth Meeting Center in Oświęcim/Auschwitz, where Thalheim was a volunteer in 1996–97, and near the Auschwitz concentration camp. This documentary film, produced by Hans-Christian Schmid and Britta Knöller, was presented at the Cannes Film Festival in 2007 and was released in Germany in August 2007.

Tahalka
Tahalka("" Translation: Furore"") is a 1992 Indian Hindi- language action adventure film directed by Anil Sharma, featuring an ensemble cast including Dharmendra, Naseeruddin Shah, Aditya Pancholi, Javed Jaffrey, Amrish Puri, Mukesh Khanna, Ekta Sohini, Pallavi Joshi, Sonu Walia and Shikha Swaroop in the lead roles and Firdaus Dadi in her acting debut. The film was the fifth highest grosser of 1992 and was declared a semi-hit by Box Office India. This film was loosely based on the 1968 Hollywood action adventure film"" Where Eagles Dare"".

Howard Post
Howard"" Howie"" Post( November 2, 1926 – May 21, 2010) was an American animator, cartoonist, and comic strip and comic book writer- artist. Post is known for his syndicated newspaper comic strip"" The Dropouts"" which had a 13- year run and for creating DC Comics'"" Anthro"".

Eliza Ritchie
Dr, Eliza Ritchie( 20 May 1856 – 5 September 1933) was a prominent suffragist in Nova Scotia, Canada.

Nash
Nash or NASH may refer to:

Percy Nash
Percy Nash( 1869- 1958) was a British film director.

William E. Ritchie
William E. Ritchie(? – May 12, 1943) was a trick bicyclist who performed with Will Rogers and W. C. Fields.

Simon Nash
Simon Nash( born 7 September 1972) is a British actor.

Who was born first out of Eliza Ritchie and Benjamin Nash?"
65e000ee0bdc11eba7f7acde48001122,B.J. Annis,1947,"Larry Beinhart
Larry Beinhart is an American author. He is best known as the author of the political and detective novel"" American Hero"", which was adapted into the political- parody film"" Wag the Dog"".

Industrial Building (Baltimore, Maryland)
Industrial Building is a historic factory building located at Baltimore, Maryland, United States. It is a large seven story industrial- style structure built in 1912 and designed by Baltimore architect Theodore Wells Pietsch. It features an"" E"" plan, reinforced concrete and steel- frame construction, and large pivoted- sash windows. The front façade is characterized by a symmetrical window arrangement and a large 2- story, round- arched entranceway. It was scheduled for conversion to housing for the elderly during the 1980s. Industrial Building was listed on the National Register of Historic Places in 1980.

Paula Arundell
Paula Arundell is an Australian actress and singer.

Ed Radwanski
Edward “ Ed or Eddie ” Radwanski( born May 5, 1963 in Neptune Township, New Jersey) is a former U.S. soccer midfielder. He spent the five seasons in the Major Indoor Soccer League, one in the Continental Indoor Soccer League and seven in the USISL and its predecessor, the SISL. He also earned five caps with the U.S. national team in 1985.

Michael Hart
Michael Hart, Mike Hart, or Mickey Hart may refer to:

It Never Entered My Mind
``It Never Entered My Mind ''Song from Higher and Higher Published 1940 Songwriter (s) Lorenz Hart Composer (s) Richard Rodgers

Teddy Hart
Edward Ellsworth Annis (born February 2, 1980) is a Canadian professional wrestler, better known by his ring name Teddy Hart. He currently wrestles on the independent circuit. He most recently wrestled on a National scale for Major League Wrestling (MLW) as the leader of The Hart Foundation, where he was the longest reigning MLW World Middleweight Champion and also held the MLW World Tag Team Championship. He has also wrestled for AAA, the short-lived Wrestling Society X, Jersey All Pro Wrestling, and Dragon Gate USA. He operates a wrestling school in Edmonton. He is the son of Georgia Hart of the Hart family and wrestler B.J. Annis. Hart achieved an early degree of fame when he became the youngest wrestler to be signed to the World Wrestling Federation (now WWE). His subsequent release and controversial actions while wrestling on the independent circuit have earned him a measure of infamy. Outside of the ring Annis has been a mentor to several young wrestlers and has been a trainer at wrestling schools. Among his trainees are Jack Evans, Pete Wilson and his younger cousin Matt Hart. Annis is also a cat lover and breeder of Persian cats which he has used sometimes in storylines and brought with him to matches.

List of the verified oldest people
Violet Brown 000000001900 - 03 - 10 - 0000 10 March 1900 Living 7004429230000000000 ♠ 117 years, 189 days Jamaica

Kevin Hart (disambiguation)
Kevin Hart (born 1979) is an American actor and comedian. Kevin Hart may also refer to:

What is the date of birth of Teddy Hart's father?"
37a485c308c311ebbd8dac1f6bf848b6,No,yes,"Zhang Yang (director)
Zhang Yang( born 1967) is a Chinese film director, screenwriter, and occasional actor. He is the son of film director, Zhang Huaxun. Zhang grew up in Beijing, studied until 1988 at Sun Yat -sen University in Guangdong, from which he graduated with a degree in Chinese literature, and then went to the Central Academy of Drama, graduating in 1992.

History of Latvia
The First Latvian National Awakening began in the 1850s and continued to bear fruit after World War I when, after two years of struggle in the Latvian War of Independence, Latvia finally won sovereign independence, as recognised by Soviet Russia in 1920 and by the international community in 1921. The Constitution of Latvia was adopted in 1922. Political instability and effects of the Great Depression led to the May 15, 1934 coup d'état by Prime Minister Kārlis Ulmanis. Latvia's independence was interrupted in June -- July 1940, when the country was occupied and incorporated into the Soviet Union. In 1941 it was invaded and occupied by Nazi Germany, then reconquered by the Soviets in 1944 -- 45.

Larry Joe Doherty
Larry Joe Doherty or LJD( born July 29, 1946) is a Texas legal ethics attorney and former television star of the syndicated courtroom show"" Texas Justice"". He was the Democratic candidate for the 10th Congressional District of Texas in 2008, unsuccessfully challenging incumbent Republican Michael McCaul. Born in Hillsboro, Texas, Doherty is married to Joanne Doherty.

Seyf Koti
Seyf Koti( also Romanized as Seyf Kotī) is a village in Kuhsaran Rural District, in the Central District of Qaem Shahr County, Mazandaran Province, Iran. At the 2006 census, its population was 143, in 49 families.

McAllister, Wisconsin
McAllister is an unincorporated community located in the town of Wagner, Marinette County, Wisconsin, United States. McAllister is located at the intersection of Wisconsin Highway 180 and County Highway JJ east-southeast of Wausaukee.

Sean McAllister (filmmaker)
Sean McAllister( born 2 May 1965) is a British documentary filmmaker.

Lenny (film)
Lenny is a 1974 American biographical drama film about the comedian Lenny Bruce, starring Dustin Hoffman and directed by Bob Fosse. The screenplay by Julian Barry is based on his play of the same name.

Alexander McAllister
Alexander McAllister( born 19 December 1920) is a Scottish former cricketer, who played one first- class match for the Scotland cricket team in 1950. Upon the death of Archie Scott in November 2019, McAllister became the oldest living person to have played cricket for Scotland.

Chinese in Paris
Chinese in Paris  is a 1974 French-Italian comedy film directed by Jean Yanne. The movie features an hypothetical Chinese invasion of western Europe and the life in Paris under communist Chinese rule.

Did Lenny Mcallister and Ken Xie have the same nationality?"
d29bc89e094811ebbdaeac1f6bf848b6,Around The Fur.,Kind Of Love,"Pope Sixtus I
Pope Sixtus I (42 – 124, 125, 126 or 128), a Roman of Greek descent, was the Bishop of Rome from c. 115 to his death c. 124. He succeeded Pope Alexander I and was in turn succeeded by Pope Telesphorus. His feast is celebrated on 6 April.

Francovich v Italy
Francovich v Italy (1991) C-6/90 was a decision of the European Court of Justice which established that European Union member states could be liable to pay compensation to individuals who suffered a loss by reason of the member state's failure to transpose an EU directive into national law. This principle is sometimes known as the principle of state liability or ""the rule in ""Francovich"""" in European Union law.

Hermann Leitner
Hermann Leitner( 3 September 1927–22 February 2013) was an Austrian film editor and film director. His 1962 documentary film"" Mediterranean Holiday"" was entered into the 3rd Moscow International Film Festival.

Walter M. Chandler
He established his law practice in Dallas, Texas, and three years later moved to New York City, where he continued the practice of law and engaged in writing and lecturing.

Around the Fur
Around the Fur is the second studio album by American alternative metal band Deftones, released on October 28, 1997 by Maverick Records. The songs"" My Own Summer( Shove It)"" and"" Be Quiet and Drive( Far Away)"" were released as singles with accompanying music videos. The album was certified gold by the RIAA in June 1999, and was eventually certified platinum in 2011.

My Kind of Love
My Kind of Love may refer to several songs:

Little Fur Family
Little Fur Family is a 1946 picture book written by Margaret Wise Brown and illustrated by Garth Williams. It tells the story of a little fur child's day in the woods. The day ends when his big fur parents tuck him in bed ""all soft and warm,"" and sing him to sleep with a bedtime song.

Who Is Lydia Loveless?
Who is Lydia Loveless is a 2016 documentary film by Gorman Bechard that chronicles the making of musician Lydia Loveless's latest album, as well as following her on the road and looking into what life is life for a band at her level in the music industry. "" I also wanted to look at stuff we normally do n’t see a lot of. What are the finances for a band like this? Where does the money go? Who gets the money? Is Spotify good? Is Spotify bad? How does piracy affect you? What about the fans? I really wanted to go into all of that for a band that can sell out 200- or 250- seat venues and bars but is still traveling in an old Ford van. A good night is when they have a couple of hotel rooms. No one is rolling in the dough, so to speak. So what is it at that point when you have amazing critical success and acclaim but you ’re not there yet?"" In October 2015, Bechard and his crew filmed a live Lydia Loveless concert at Skully's in her hometown of Columbus for the documentary. Two trailers exist for the film. One features Loveless and her band, while the other features random people trying to answer the question posed in the film's title.

Which Way You Goin' Billy
There are two articles for Canadian band The Poppy Family:

Which album came out first, Kind Of Love or Around The Fur?"
8cc029e708c311ebbd8dac1f6bf848b6,Charles Taze Russell.,Charles Taze Russell,"Jurica Pranjić
Jurica Pranjić( born 16 December 1987 in Teslić) is a Croatian football player, currently playing for NK Belišće in the Croatian Third Football League.

Chris Holloway
Christopher Holloway( born 5 February 1980) is a Welsh footballer. He was born in Swansea.

3 the Hard Way
3 The Hard Way are a New Zealand hip hop group formed in 1994. They are best known for their two New Zealand number one singles,"" Hip Hop Holiday"" from 1994, and"" It's On( Move to This)"" from 2003.

Grace Baptist School (Portland, Maine)
Grace Baptist School was a Baptist parochial school located in Portland, Maine, USA. Established 1976, Grace Baptist educated students in grades K- 12. It closed in 2013 due to lack of funds.

Charles S. Russell
Charles Stevens Russell( born 1926 in Richmond, Virginia) is a Virginia lawyer and currently a Senior Justice of the Supreme Court of Virginia. He retired as an active member of the Court in 1991.

Independence Day (United States)
Coincidentally, both John Adams and Thomas Jefferson, the only signers of the Declaration of Independence later to serve as Presidents of the United States, died on the same day: July 4, 1826, which was the 50th anniversary of the Declaration. Although not a signer of the Declaration of Independence, James Monroe, another Founding Father who was elected as President, also died on July 4, 1831. He was the third President in a row who died on the anniversary of independence. Calvin Coolidge, the 30th President, was born on July 4, 1872; so far he is the only U.S. President to have been born on Independence Day.

History of the United States
George Washington -- a renowned hero of the American Revolutionary War, commander - in - chief of the Continental Army, and president of the Constitutional Convention -- became the first President of the United States under the new Constitution in 1789. The national capital moved from New York to Philadelphia and finally settled in Washington DC in 1800.

Battles of Saratoga
Burgoyne found himself trapped by superior American forces with no relief in sight, so he retreated to Saratoga (now Schuylerville) and surrendered his entire army there on October 17. His surrender, says historian Edmund Morgan, ``was a great turning point of the war because it won for Americans the foreign assistance which was the last element needed for victory. ''

Charles Sawyer Russell
Charles Sawyer Russell( March 15, 1831 – November 2, 1866) was a United States Army officer in the Union Army during the American Civil War.

Who died earlier, Charles Taze Russell or George Washington Bright?"
4a0422f00bb011ebab90acde48001122,King Gustaf VI Adolf of Sweden,"Frederick Francis III, Grand Duke of Mecklenburg-Schwerin","Revenge of Itzik Finkelstein
Revenge of Itzik Finkelstein (translit. Nikmato Shel Itzik Finkelstein) is a 1993 Israeli fantasy comedy film directed by Enrique Rottenberg. It stars Moshe Ivgy, Estevan Gotfreed, Dvora Halter-Keidar and Shmil Ben Ari. Critically acclaimed, it won the Ophir Award for Best Film. The film was selected as the Israeli entry for the Best Foreign Language Film at the 66th Academy Awards, but was not accepted as a nominee.

California Jazz Conservatory
The California Jazz Conservatory, formerly known as the Jazzschool, is a privately owned non-profit music school for jazz students in Berkeley, California. Founded in 1997, the school won accreditation as a conservatory in early 2014. It is the only American school with a year-round jazz music program.

Deh Now Pirjed
Deh Now Pirjed( also Romanized as Deh Now Pīrjed) is a village in Kakasharaf Rural District, in the Central District of Khorramabad County, Lorestan Province, Iran. At the 2006 census, its population was 762, in 169 families.

Brand: A Second Coming
Brand: A Second Coming, also called BRAND: The Film, is a 2015 English documentary film about comedian Russell Brand directed by Ondi Timoner. The film documents Brand's transformation from a comedian to activist over the past five years. It debuted at the 2015 South by Southwest festival in March, but elicited some controversy as Brand declined to attend the premiere and is reportedly unhappy with the film.

Prince Hubertus of Prussia
Prince Hubertus of Prussia (Hubertus Karl Wilhelm; 30 September 1909 – 8 April 1950) was the third son of Crown Prince Wilhelm of Germany and Duchess Cecilie of Mecklenburg-Schwerin.

Prince Hubertus of Hohenzollern
Prince Hubertus of Hohenzollern( Hubertus Gustav Adolf Veit Georg Meinrad Maria Alexander)( born 10 June 1966) is the third child of Prince Johann Georg of Hohenzollern and of his wife Princess Birgitta of Sweden, sister of King Carl XVI Gustaf of Sweden. Hubertus was born in Munich, Germany.

Prince Hubertus of Hohenzollern
Prince Hubertus of Hohenzollern (Hubertus Gustav Adolf Veit Georg Meinrad Maria Alexander) (born 10 June 1966) is the third child of Prince Johann Georg of Hohenzollern and of his wife Princess Birgitta of Sweden, sister of King Carl XVI Gustaf of Sweden.

Hubertus, Hereditary Prince of Saxe-Coburg and Gotha
Hubertus Michael, Hereditary Prince of Saxe- Coburg and Gotha, Duke of Saxony( born 16 September 1975) is the heir- apparent of the head of the family which ruled the Duchy of Saxe- Coburg and Gotha until 1918.

Louis Ferdinand, Prince of Prussia
Louis Ferdinand Victor Eduard Adalbert Michael Hubertus, Prince of Prussia (9 November 1907 – 26 September 1994) was a member of the royal House of Hohenzollern and the pretender for a half-century to the abolished German throne. He was also noteworthy as a staunch opponent of the Nazi Party, a businessman, and a patron of the arts.

Who is Prince Hubertus Of Prussia's maternal grandfather?"
f414cc960bdc11eba7f7acde48001122,Forest Lawn Memorial Park.,Forest Lawn Memorial Park,"Darrell Banks
Darrell Banks (born Darrell Eubanks, July 25, 1937 – February 24, 1970) was an American soul singer. He had a hit with ""Open the Door to Your Heart"".

Just Looking
Just Looking is an American feature film from the year 1999. It starred Ryan Merriman& Ally Walker, was directed by Jason Alexander and received a limited theatrical release.

Giacomo van Lint
Giacomo van Lint or Jacob van Lint( Rome, 8 February 1723 – Rome, 1 August 1780) was an Italian landscape and vedute painter of Flemish descent active in Rome. He was the son of Hendrik Frans van Lint, one of the leading landscape painters in Rome in the first half of the 18th century. Like his father he supplied a clientele of local patrons as well as European travelers on their Grand Tour with views of the ancient and modern monuments of Rome as well as views of the Roman Campagna.

Lars Toborg
Lars Toborg( born 19 August 1975) is a German football forward, who plays for Rot Weiss Ahlen in 2. Fußball- Bundesliga.

The Secret of Dr. Kildare
The Secret of Dr. Kildare is a 1939 American film directed by Harold S. Bucquet and produced by Metro- Goldwyn- Mayer. This was the fourth of a total of ten Dr. Kildare pictures, Lew Ayres starred in the last nine.

Dr. Kildare's Victory
Dr. Kildare's Victory is a 1942 film directed by W. S. Van Dyke. It stars Lew Ayres and Lionel Barrymore. This was the tenth and last of the Dr. Kildare movie series.

Dr. Kildare Goes Home
Dr. Kildare Goes Home is a 1940 American drama film directed by Harold S. Bucquet, starring Lew Ayres, Lionel Barrymore and Laraine Day. This was the fifth in the MGM series of nine Dr. Kildare, from 1938- 1942 with Lew Ayres as Dr. Kildare. This was the sixth of a series of ten Dr. Kildare pictures; the first of which starred Joel McCrea as Kildare.

Calling Dr. Kildare
Calling Dr. Kildare is a 1939 film in the Dr. Kildare series. Directed by Harold S. Bucquet, it stars Lew Ayres as the young Dr. Kildare and Lionel Barrymore as Dr. Gillespie, his mentor. The second of MGM's series of Kildare films, it introduces Laraine Day as nurse Mary Lamont, the love of Kildare's life.

Dr. Gillespie's Criminal Case
Dr. Gillespie's Criminal Case is a 1943 film in the Dr. Kildare series. Based on characters created by Max Brand. The third of MGM's Dr. Gillespie series( 6 in all) to dispense with the services of Dr. Kildare( Lew Ayres)( 8 in all) after"" Dr. Kildare's Victory""( 1942).

Where was the place of burial of the director of film The Secret Of Dr. Kildare?"
c8104dcc0bdd11eba7f7acde48001122,1735,3 February 1735,"Moni, Cyprus
Moni is a village in the Limassol District of Cyprus, located 2 km east of Pyrgos.

Flex (Ooh, Ooh, Ooh)
"" Flex( Ooh, Ooh, Ooh)"" is a song by American rapper Rich Homie Quan. It was released on February 10, 2015, as a single from his fifth mixtape"" If You Ever Think I Will Stop Goin' in Ask RR( Royal Rich)""( 2015). It was produced by DJ Spinz and Nitti Beatz.

We Are
We Are may refer to:

The County Fair (1920 film)
The County Fair is a 1920 American film directed by Edmund Mortimer and Maurice Tourneur.

Frederick Michael, Count Palatine of Zweibrücken
Frederick Michael, Count Palatine of Zweibrücken- Birkenfeld( Ribeauvillé, Alsace, 27 February 1724 – 15 August 1767 in Schwetzingen) was a member of the Wittelsbach dynasty. He was the son of Christian III of Palatinate- Zweibrücken and Caroline of Nassau- Saarbrücken and a member of the House of Palatinate- Zweibrücken- Birkenfeld, a branch of the House of Wittelsbach. He was the father of the Bavarian King Maximilian I Joseph.

Frederick I, Elector Palatine
Frederick I, the Victorious (""der Siegreiche"") (1 August 1425, Heidelberg – 12 December 1476, Heidelberg) was a Count Palatine of the Rhine and Elector Palatine from the House of Wittelsbach in 1451–76.

Frederick IV, Elector Palatine
Frederick IV, Elector Palatine of the Rhine (5 March 1574 – 19 September 1610), only surviving son of Louis VI, Elector Palatine and Elisabeth of Hesse, called ""Frederick the Righteous"" (French: ""Frédéric IV le juste"").

Frederick Louis, Count of Nassau-Ottweiler
Frederick Louis of Nassau- Ottweiler( 13 November 1651 – 25 May 1728) was a member of the House of Nassau.

𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

What is the date of death of Frederick Michael, Count Palatine Of Zweibrücken's father?"
f3c9cb920baf11ebab90acde48001122,Rubellius Blandus's father-in-law is the Roman emperor Tiberius.,Drusus Julius Caesar,"John Zeleznik
John Zeleznik is an artist and illustrator.

How to Kill a Judge
How to Kill a Judge, also known as"" The Murder of a Magistrate"" and"" Why Does One Kill a Magistrate?"", is a 1974 Italian crime- thriller film directed by Damiano Damiani. It is the final chapter in the Damiani's trilogy about mafia, after"" The Day of the Owl"" and"" Confessions of a Police Captain"". It was released on DVD by Blue Underground in March 2006.

Day Dreamin' Davey
Day Dreamin' Davey is an action video game developed by Sculptured Software and published by HAL Laboratory for the Nintendo Entertainment System that uses a third-person overhead perspective.

The Dream Factory (film)
The Dream Factory is a 1997 Chinese comedy film directed by Feng Xiaogang. It was one of the first notable and successful"" he sui pian""( Chinese New Year) movies made in mainland China. It was written by Feng Xiaogang and Wang Gang, adapting a Wang Shuo novel.

Gaius Rubellius Blandus
Gaius Rubellius Blandus was a Roman senator who lived during the Principate. Blandus was the grandson of Rubellius Blandus of Tibur, a member of the Equestrian class, who was the first Roman to teach rhetoric. He was suffect consul from August to December AD 18 with Marcus Vipstanus Gallus as his colleague. In AD 33, he married Julia Livia, granddaughter of the Roman emperor Tiberius.

Rubellius Blandus
Rubellius Blandus was a Roman, native of Tibur( Tivoli, Italy). He was the first Equestrian of Ancient Rome to teach rhetoric and thus made it more respectable( Sen., Controv. 2, 5). He was the teacher of Papirius Fabianus, who was in turn the teacher of Seneca the Younger. His grandson Gaius Rubellius Blandus was a suffect consul of 18.

Rubellia Bassa
Rubellia Bassa( born between 33- 38) was a daughter of Gaius Rubellius Blandus, consul in AD 18 and possibly his wife Julia Livia( killed 43) or an earlier wife.

Gaius Antonius (brother of Mark Antony)
Gaius Antonius (died 42 BC) was the second son of Marcus Antonius Creticus and Julia Antonia, and thus, younger brother of Mark Antony, who was one of the members of the second triumvirate.

Paullus Fabius Persicus
Paullus Fabius Persicus( 2/1 BCE- ?( reign of Claudius)) was the only son of Paullus Fabius Maximus and Marcia, a maternal cousin of Augustus( daughter of his aunt Atia and L. Marcius Philippus) and great- niece of Julius Caesar. As such, Persicus was a first- cousin- once- removed of Augustus and a great- great- nephew of Julius Caesar.

Who is Gaius Rubellius Blandus's father-in-law?"
