index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,"Polish-Russian War (film)
Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish- Russian War under the white- red flag by Dorota Masłowska.

Who is the mother of the director of film Polish-Russian War (Film)?",małgorzata braunek,małgorzata braunek,1.0,1.0000000000000002,True
1,"The Mask of Fu Manchu
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu,the mask of fu manchu,1.0000001192092896,1.0000000000000002,True
2,"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

When did John V, Prince Of Anhalt-Zerbst's father die?",before 1621,12 june 1516,0.3623417913913727,0.0,False
3,"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?",best music director award (hindi),myanmar motion picture academy awards,0.3322734236717224,0.0,False
4,"Ronnie Rocket
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.

Where was the director of film Ronnie Rocket born?",missoula montana,missoula montana,1.0,1.0000000000000002,True
5,"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where was the father of Ștefan I. Nenițescu born?",romania,galați,0.2274143099784851,0.0,False
6,"North Marion High School (Oregon)
North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?",no,no,1.0,1.0,True
7,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?","""el extraño viaje""",el extraño viaje,0.9617736339569092,1.0000000000000002,True
8,"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Who is the maternal grandfather of Antiochus X Eusebes?",antiochus iii the great,ptolemy ix lathyros,0.4855457544326782,0.0,False
9,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","the director died first in ""the working class goes to heaven""",the working class goes to heaven,0.5732986330986023,0.695123532192458,False
10,"The Woman in White
The Woman in White may refer to:

Which film has the director born first, Once A Gentleman or The Girl In White?","the director of ""once a gentleman"" was born first",once a gentleman,0.6372597813606262,0.3799783615910079,False
11,"The Trial of Joan of Arc
The Trial of Joan of Arc () is a 1962 French historical film directed by Robert Bresson. Joan of Arc is played by Florence Delay.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",the director of il seduttore died earlier,the trial of joan of arc,0.22752201557159424,0.2633562008620566,False
12,"Thomas Jefferson (film)
Thomas Jefferson is a 1997 two-part American documentary film directed and produced by Ken Burns. It covers the life and times of Thomas Jefferson, the 3rd President of the United States.

Where was the director of film Thomas Jefferson (Film) born?",michigan,brooklyn,0.3409249782562256,0.0,False
13,"Grand Duke George of Russia
There have been several dynasts of Russian Imperial House whose name is George: Currently, also son of Maria Vladimirovna of Russia, uses the designation Grand Duke George Mikhailovitch of Russia.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?",complications during surgery,stroke,0.11502738296985626,0.0,False
14,"Where's the Love (disambiguation)
"" Where's the Love"" is a 1997 song by Hanson. Where's the Love may also refer to:"" Where's the Love"" should not be confused with:

Where was the place of death of the director of film Beat Girl?",spain,nice,0.2065173238515854,0.0,False
15,"John Sheppard (VC)
Sheppard was 37 years old, and a Boatswain's Mate in the Royal Navy, serving with the Naval Brigade during the Crimean War when the following deed took place for which he was awarded the VC.

Who died first, Fleetwood Sheppard or George William Whitaker?",fleetwood sheppard,fleetwood sheppard,1.0000001192092896,1.0000000000000002,True
16,"Il était une fois l’indépendance
Il était une fois l’indépendance is a 2009 Malian film.

Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",keïta l'héritage du griot,the raven's dance,0.12722989916801453,0.0,False
17,"Jean Martin (disambiguation)
Jean Martin may refer to:

When did Jean Martin (Singer)'s husband die?",1991,1983,0.7418984174728394,0.0,False
18,"The Last Ride of the Dalton Gang
The Last Ride of the Dalton Gang is a 1979 television film directed by Dan Curtis about the Dalton Gang. It is not entirely accurate, as noted at the film's beginning.

Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",tangled destinies,tangled destinies,1.0,1.0000000000000002,True
