index,question,predicted_answer,actual_answer,bert_score,cosine_score,exact_match
0,"Polish-Russian War (film)
Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish- Russian War under the white- red flag by Dorota Masłowska.

Sitora Alieva
Sitora Shokhinovna Alieva – film expert, director of the IFF “ Faces of love ” and the IIF Sochi, artistic director of the largest Russian national film festival “ Kinotavr ”, Russian Ministry of Culture film expert, lecturer at film schools and universities, juror at numerous film festivals, including Berlinale, Venice Film Festival, etc.

The Last Family
The Last Family  is a 2016 Polish biographical film directed by Jan P. Matuszyński. The film won the Golden Lions for best film at the 2016 Gdynia Film Festival.

Mother (1999 film, Russia)
Mother is a feature film based on real events the capture of an Ovechkin family in 1988.

Rose (2011 film)
Róża is a 2011 Polish film directed by Wojciech Smarzowski. It depicts the love story of a Masurian woman and an officer of the Armia Krajowa in postwar Masuria.

Who is the mother of the director of film Polish-Russian War (Film)?",dorota masłowska,małgorzata braunek,0.5772087574005127,0.0,False
1,"The Mask of Fu Manchu
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

The Face of Fu Manchu
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.

The Castle of Fu Manchu
The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.

The Mysterious Dr. Fu Manchu
The Mysterious Dr. Fu Manchu is a 1929 American pre-Code drama film directed by Rowland V. Lee and starring Warner Oland as Dr. Fu Manchu. It was the first Fu Manchu film of the talkie era. Since this was during the transition period to sound, a silent version was also released in the United States.

The Return of Dr. Fu Manchu
The Return of Dr. Fu Manchu is a 1930 American pre-Code film directed by Rowland V. Lee. It is the second of three films starring Warner Oland as the fiendish Fu Manchu, who returns from apparent death in the previous film,"" The Mysterious Dr. Fu Manchu""( 1929), to seek revenge on those he holds responsible for the death of his wife and child.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",the mask of fu manchu,the mask of fu manchu,1.0000001192092896,1.0000000000000002,True
2,"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

John II, Prince of Anhalt-Zerbst
John II, Prince of Anhalt-Zerbst (died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the youngest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.

John V, Prince of Anhalt-Zerbst
John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Poděbrady, King of Bohemia.

Karl I, Prince of Anhalt-Zerbst
Karl I of Anhalt-Zerbst (17 November 1534 in Dessau – 4 May 1561 in Zerbst), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the eldest son of John V, Prince of Anhalt-Zerbst, by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.

Waldemar III, Prince of Anhalt-Zerbst
Waldemar III, Prince of Anhalt-Zerbst (died 1391) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the youngest son of John II, Prince of Anhalt-Zerbst, by his wife Elisabeth, daughter of John I, Count of Henneberg-Schleusingen.

When did John V, Prince Of Anhalt-Zerbst's father die?",1544,12 june 1516,0.4922913908958435,0.0,False
3,"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

Bengal Film Journalists' Association – Best Art Director
Here is a list of the award winners and the films for which they won.

Golden Lotus Award for Best Actor
Golden Lotus Award for Best Actor is one of the main categories of competition of the Golden Lotus Awards. It is awarded to leading male actor( s) who have outstanding performance in motion pictures.

Bengal Film Journalists' Association
Best Female Playback Singer (Hindi) - Here is a list of the award winners and the films for which they won.

Bengal Film Journalists' Association
Best Male Playback Singer (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?",best music director award (hindi),myanmar motion picture academy awards,0.3322734236717224,0.0,False
4,"Ronnie Rocket
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.

Rocket Girl (disambiguation)
Rocket Girl or Girls in plural may refer to:

Guardians of the Galaxy (film)
Bradley Cooper as Rocket: A genetically engineered raccoon - like bounty hunter and mercenary who is a master of weapons and battle tactics. Gunn worked with live raccoons to get the correct feel for the character, and to make sure it was ``not a cartoon character '', saying,`` It's not Bugs Bunny in the middle of the Avengers, it's a real, little, somewhat mangled beast that's alone. There's no one else in the universe quite like him, he's been created by these guys to be a mean - ass fighting machine.'' Gunn also based the character on himself. Describing Rocket in relation to the rest of the Guardians, Cooper said, ``I think Rocket is dynamic. He's the sort of Joe Pesci in Goodfellas guy. ''Cooper voiced Rocket, while Sean Gunn (James' younger brother) stood in for the character during filming. James Gunn said that for the role of Rocket, some physical movement from Cooper, including facial expressions and hand movements, was recorded as potential reference for the animators, though much of Sean Gunn's acting is used throughout the film. Before Cooper was cast, James Gunn said that it was a challenge finding a voice for Rocket, that he was looking for someone that could balance`` the fast - talking speech patterns that Rocket has, but also can be funny, because he is really funny. But also has the heart that Rocket has. Because there are actually some pretty dramatic scenes with Rocket.''

Heather Parry
Heather Parry( born 1971) is a television and film producer. She is best known for Pixels( 2015), The House Bunny( 2008) and A Star Is Born( 2018).

Who Is Chris Rock?
Who Is Chris Rock? is a short film about the life of comedian Chris Rock directed by Michael J. Dennis. It showcased Rock and his mother talking about his life and work.

Where was the director of film Ronnie Rocket born?",david lynch,missoula montana,0.1525363326072693,0.0,False
5,"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who's Your Daddy?
Who's Your Daddy may refer to:

Where Was I
"" Where Was I?"" may refer to:

Binod Singh
Baba Binod Singh descendant of Guru Angad, was an armymen and disciple of Guru Gobind Singh and was among few Sikhs who accompanied him to Nanded in 1708. In Budha Dal Chronicles, Guru Gobind Singh made Baba Binod Singh the head of the Khalsa Army and is designated as first Jathedar of Budha Dal. Regarding Binod Singh, Kahn Singh Nabha states in Mahankosh:"" ਦਸ਼ਮੇਸ ਼ ਦਾ ਹਜ਼ੂਰੀ ਤੇਹਣ ਸਾਹਿਬਜ਼ਾਦਾ, ਜਿਸ ਨੂੰ ਦਸ਼ਮੇਸ਼ ਨੇ ਅਬਿਚਲਨਗਰ ਤੋਂ ਬੰਦੇ ਬਹਾਦੁਰ ਦੀ ਸਹਾਇਤਾ ਲਈ ਪੰਜਾਬ ਭੇਜਿਆ ਸੀ, ਅਤੇ ਇਸ ਧਰਮਵੀਰ ਨੇ ਪੰਥ ਦੇ ਨਾਲ ਹੋਕੇ ਬਹੁਤ ਜੰਗ ਜਿੱਤੇ.""< br> "" The Huzoor Sahibzada of Guru Gobind Singh, who was sent to help Banda Bahadur in Punjab and fought many battles for Religion like a Warrior.""

Where was the father of Ștefan I. Nenițescu born?",romania,galați,0.2274143099784851,0.0,False
6,"North Marion High School (Oregon)
North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Seoul High School
Seoul High School( Hangul: 서울고등학교) is a public high school located in the heart of Seoul, South Korea.

Marion High School (Indiana)
Marion High School is a high school in Marion, Indiana with more than 1,000 students.

North Bend High School
North Bend High School is a public high school in North Bend, Oregon, United States.

North Eugene High School
North Eugene High School is a public high school in the River Road/ Santa Clara neighborhoods of Eugene, Oregon, United States.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?",no,no,1.0,1.0,True
7,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Viaje (film)
Viaje is a 2015 Costa Rican romance film directed and written by Paz Fábrega. It had its world premiere at the 2015 Tribeca Film Festival, where it met with positive reviews. The film is shot in black- and- white.

El extraño viaje
El extraño viaje is a 1964 Spanish black drama film directed by Fernando Fernán Gómez. Famous film director Jess Franco acts as the brother of the protagonist. The film was a huge flop on its limited release. It was voted seventh best Spanish film by professionals and critics in 1996 Spanish cinema centenary.

The Red Fish
The Red Fish( Spanish: Los peces rojos) is a 1955 Spanish thriller film directed by José Antonio Nieves Conde. and written by Carlos Blanco. Original idea by Carlos Blanco. Spanish film noir classic movie, praised by critics as one of the top ten Spanish films ever made. It ’s a psychological thriller fueled by a remarkably intriguing premise Ivón, a chorus girl, and Hugo, a failed writer, turn up at a provincial hotel on a stormy night. They have come from Madrid with Carlos, Hugo ’s son, born nineteen years earlier after a casual affair. They decide to lean over the cliffs to look at the angry waves down below – and Carlos falls to his death.

Godfather Mendoza
In 1994, the Mexican magazine ""Somos"" published a list of ""The 100 best movies of the cinema of Mexico"" in its 100th edition and choose ""El compadre Mendoza"" the 3rd better of all time, just behind ""Vámonos con Pancho Villa"" and ""Los olvidados"".

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",love in pawn,el extraño viaje,0.01267341710627079,0.0,False
8,"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Laodice of the Sameans
Laodice was a Queen of an unknown Kingdom in Asia. She lived at the time of the Seleucid king of Syria Antiochus X Eusebes who reigned 95 BC- 92 or 88 BC.

Laodice (wife of Mithridates III of Pontus)
Laodice (fl. late 3rd – early 2nd centuries BCE) was a Greek Princess from the Seleucid Empire and the wife of King Mithridates III of Pontus. Laodice appears to have come from obscure origins. Laodice could have been a supposed daughter of the Seleucid King Antiochus IV Epiphanes. This is based on the assumption that the sister of Alexander Balas who appeared in Rome with him in 153 BC as a genuine daughter of Antiochus IV Epiphanes was the Laodice who married Mithridates III. Antiochus IV Epiphanes had two daughters who were Laodice VI from this marriage to his sister-wife Laodice IV and his other daughter was Antiochis the child from his concubine. However this assumption shows that Antiochus IV Epiphanes may have had another daughter called Laodice, however this is not certain. The assumption shows that there could some confusion about the identity of this Laodice and Laodice VI. Laodice bore Mithridates III three children: Mithridates IV of Pontus, Pharnaces I of Pontus and Laodice.

Antiochus IX Cyzicenus
Antiochus IX Eusebes Cyzicenus (""Antiochus the Pious, the Cyzicene"") was a ruler of the Hellenistic Seleucid kingdom. He was the son of Antiochus VII Sidetes and Cleopatra Thea. He left the kingdom in 129 BC and went to the city of Cyzicus, but he returned in 116 BC to challenge his half-brother Antiochus VIII for power. The siblings fought a twenty-year civil war. In 112 BC, Antiochus IX's wife, Cleopatra IV, was killed by her sister Tryphaena, the wife of Antiochus VIII. Tryphaena herself died shortly afterwards. Antiochus VIII was assassinated in 96 BC; he was succeeded by his sons Seleucus VI and Demetrius III. Antiochus IX then took the capital Antioch and married his deceased wife's sister Cleopatra Selene, who was herself the widow of Antiochus VIII. Seleucus VI continued the war against his uncle. Antiochus IX Eusebes Cyzicenus was killed in battle in 96 BC.

Antiochus VII Sidetes
Antiochus VII Euergetes (c.164/160 BC - 129 BC) , nicknamed Sidetes  (from Side, a city in Asia Minor), also known as Antiochus the Pious, was ruler of the Hellenistic Seleucid Empire who reigned from July/August 138 to 129 BC. He was the last Seleucid king of any stature. After Antiochus was killed in battle, the Seleucid realm was restricted to Syria.

Who is the maternal grandfather of Antiochus X Eusebes?",antiochus vii sidetes,ptolemy ix lathyros,0.506171703338623,0.0,False
9,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Godfather Mendoza
In 1994, the Mexican magazine ""Somos"" published a list of ""The 100 best movies of the cinema of Mexico"" in its 100th edition and choose ""El compadre Mendoza"" the 3rd better of all time, just behind ""Vámonos con Pancho Villa"" and ""Los olvidados"".

La muerte de un burócrata
La muerte de un burócrata (Death of a Bureaucrat) is a 1966 comedy film by Cuban director Tomás Gutiérrez Alea which pokes fun at the Communist bureaucracy and red tape and how it affects the lives of the common people who have to waste time and overcome hurdles just to get on with their ordinary lives. The story begins with the death of a model worker, who is buried with his labor card as a badge of honor. However, his widow is told she needs that card to claim the benefits she is entitled to. The story then takes several surreal turns, as the family of the dead man tries to recover the precious card from the grave. As they succeed to do so, the bureaucracy grows into a formidable enemy: Their wish to re-bury the husband is turned down, because all the official documents show he already has been buried...

Crimen a las tres
Crimen a las tres is a Argentine crime film directed and written by Luis Saslavsky.

Who Killed Bambi? (2013 film)
Quién mató a Bambi? is a 2013 Spanish comedy film directed by Santiago Amodeo.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","the director of ""the working class goes to heaven"" died first",the working class goes to heaven,0.6532468795776367,0.695123532192458,False
