Prompt;Response;Ground Truth
"Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery uawski based on the novel Polish- Russian War under the white- red flag by Dorota Masowska.

Who is the mother of the director of film Polish-Russian War (Film)?";Dorota Maslowska.;Małgorzata Braunek
"The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?";The Mask of Fu Manchu.;The Mask Of Fu Manchu
"John II, Prince of Anhalt- Zerbst( died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the youngest son of Albert II, Prince of Anhalt- Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe- Wittemberg.

When did John V, Prince Of Anhalt-Zerbst's father die?";John II, Prince of Anhalt-Zerbst's father died in 1362.;12 June 1516
"Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung. The film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?";Best Director at the Myanmar Motion Picture Academy Awards.;Myanmar Motion Picture Academy Awards
"Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film EraserheadRonnie Rocket was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's The Elephant Man. Ronnie Rocket was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three-foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in Twin Peaks and Mulholland Drive as a result.

Where was the director of film Ronnie Rocket born?";Missoula, Montana.;Missoula, Montana
"Georges de la Trémoille( c. 1382 – 6 May 1446) was Count de Guînes from 1398 to 1446 and Grand Chamberlain of France to King Charles VII of France. He sought reconciliation between Philip, Duke of Burgundy and Charles VII during their estrangement in the latter part of the Hundred Years' War. De la Trémoille was a political opponent of Arthur de Richemont within the French court. Most historians take a poor view of his career, assessing that he placed personal advancement before the public interest, though the traditional historical interpretation of the Grand Chamberlain as Jeanne d' Arc's opponent has been revised. La Trémoille was captured at Agincourt in 1415. He regained his freedom shortly afterward and dedicated the rest of his career to court life and diplomacy. He made an advantageous marriage to Joan II of Auvergne( 1378 – 1424), Countess of Auvergne and Boulogne( 1404 – 1424). De la Trémoille served the Burgundian court for several years, then joined the Armagnac court of Charles VII. La Trémoille became a royal favourite in 1427. He gained the title of Grand Chamberlain and was instrumental in Constable de Richemont's expulsion from the court that same year. Following Joan of Arc's successful campaign to Rheims for the coronation of Charles VII, la Trémoille delayed a march on Paris with fruitless peace negotiations. He may have been responsible for the lack of royal support that doomed her military actions thereafter. The historical consensus is that personal jealousies led him to undermine France's two best military commanders during a low point in the war. In September 1432 he paid for Rodrigo de Villandrando and his routiers to hold Les Ponts- de- Cé against the assaults of Jean de Bueil. That year de Richemont returned to court and imprisoned la Trémoille the following year. Charles VII did not intervene. His daughter Louise de la Trémoille( 1432 – 10 April 1474), Dame de Boussac, married Bertrand VI of Auvergne and had two children: He also had descents by his two mistresses; by Marie Guypaude, a daughter Marguerite( x and a son Jean the bastard of La Tremoïlle,( legitimated and ennobled in 1445), a large number of descendants); and by Marie La Championne, Jacques, the other bastard of La Tremoïlle, legitimized in 1466.

Where was the father of Ștefan I. Nenițescu born?";France.;Galați
"tefan I. Neniescu (October 8, 1897–October 1979) was a Romanian poet and aesthetician. Born in Bucharest, his parents were the poet Ioan S. Neniescu and his wife Elena (née tefan). He attended Sapienza University of Rome from 1920, as well as the literature and philosophy department of Bucharest University. At first an assistant professor of aesthetics, he later became an associate professor at Bucharest. He served as press secretary and later economic adviser to the Romanian legation in The Hague. Neniescu's first publication was a 1915 article about William Shakespeare that appeared in Noua revist român. His first book of poetry, Denii (1919), was followed by Vraj (1923) and Ode italice (1925). His single volume of theatre was Trei mistere (1922). From 1924, he wrote for Gândirea, and was a founding member of Romania's PEN Club. He also contributed poetry and art criticism to Convorbiri LiterareIdeea europeanVremeaUniversul literarViaa RomâneascAdevrul and Arta plastic. In 1925, Neniescu published a treatise, Istoria artei ca filosofie a istoriei. He translated from Benedetto Croce (Aesthetic, 1922) and Niccolò Machiavelli (The Mandrake, 1926). Initially, Neniescu's poetry was discursive and religious, in line with the Gândirist current. His verse became progressively more hermetic, as can be seen in the anthology volume Ani (1973). Including texts published in the 1940s and '50s, it reveals the intellectualized lyric verse of an eminently classical nature.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?";No.;no
"North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?";Love In Pawn;El Extraño Viaje
"Love in Pawn is a 1953 British comedy film directed by Charles Saunders and starring Bernard Braden and Barbara Kelly.

Who is the maternal grandfather of Antiochus X Eusebes?";King Seleucus IV Philopator.;Ptolemy IX Lathyros
"Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?";"The director of ""Crimen A Las Tres"" died first.";The Working Class Goes To Heaven
