Question ID,GPT Response,Ground Truth Answer,Prompt
8813f87c0bdd11eba7f7acde48001122,Dorota Masłowska.,Małgorzata Braunek,"Polish-Russian War (film)
Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish- Russian War under the white- red flag by Dorota Masłowska.

Sitora Alieva
Sitora Shokhinovna Alieva – film expert, director of the IFF “ Faces of love ” and the IIF Sochi, artistic director of the largest Russian national film festival “ Kinotavr ”, Russian Ministry of Culture film expert, lecturer at film schools and universities, juror at numerous film festivals, including Berlinale, Venice Film Festival, etc.

The Last Family
The Last Family  is a 2016 Polish biographical film directed by Jan P. Matuszyński. The film won the Golden Lions for best film at the 2016 Gdynia Film Festival.

Kitty Marion
Kitty Marion (12 March 1871 – 9 October 1944) was born Katherina Maria Schäfer in Germany. She immigrated to London in 1886 when she was fifteen, and she grew to minor prominence when she sang in music halls throughout the United Kingdom during the late 19th century. She became known in the field for standing up for female performers against agents, corruption, and for better working conditions. She joined the Women’s Social and Political Union (WSPU) in 1908, engaged in selling their newspaper ""Votes for Women"" and became a prominent suffragette in the United Kingdom for her participation in civil unrest protests including riots and arson. As a result, Marion was arrested many times and is known for having endured 232 force-feedings while on hunger strike in prison. She is quoted as saying “there are no words to describe the horrible revolting sensation.” When World War I started she emigrated to the United States, and there she joined the team on Margaret Sanger’s ""Birth Control Review"". Although she used her tenacity and loud voice to get people to pay attention to her cause, she did not use violence as much as she had in the United Kingdom, although she was still arrested many times for advocating birth control.

Russian State Social University
Russian State Social University (RSSU; Russian: Российский государственный социальный университет, abbreviated as РГСУ) was the first public university in the Russian Federation to offer undergraduate and graduate programmes in the field of social work. It is located in Moscow where positioned its three main historically important campuses. Russian State Social University is recognized as a fully accredited, state-owned, traditional institution. The current rector is Natalia Pochinok.

Gojeb River
The Gojeb River is eastward-flowing tributary of the Omo River in Ethiopia. It rises in the mountains of Guma, flowing in almost a direct line its confluence with the Omo at

Ann Arbor, Michigan
A person from Ann Arbor is called an ""Ann Arborite"", and many long-time residents call themselves ""townies"". The city itself is often called ""A²"" (""A-squared"") or ""A2"" (""A two"") or ""AA"", ""The Deuce"" (mainly by Chicagoans), and ""Tree Town"". With tongue-in-cheek reference to the city's liberal political leanings, some occasionally refer to Ann Arbor as ""The People's Republic of Ann Arbor"" or ""25 square miles surrounded by reality"", the latter phrase being adapted from Wisconsin Governor Lee Dreyfus's description of Madison, Wisconsin. In A Prairie Home Companion broadcast from Ann Arbor, Garrison Keillor described Ann Arbor as ""a city where people discuss socialism, but only in the fanciest restaurants."" Ann Arbor sometimes appears on citation indexes as an author, instead of a location, often with the academic degree MI, a misunderstanding of the abbreviation for Michigan. Ann Arbor has become increasingly gentrified in recent years.

Who is the mother of the director of film Polish-Russian War (Film)?"
61a46987092f11ebbdaeac1f6bf848b6,The Mask of Fu Manchu.,The Mask Of Fu Manchu,"The Mask of Fu Manchu
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.

The Face of Fu Manchu
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.

The Castle of Fu Manchu
The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.

Hermann Krukenberg
Hermann Krukenberg (21 June 1863 – 3 October 1935) was a German surgeon who was a native of Calbe, Province of Saxony, Germany. He was the brother of pathologist Friedrich Ernst Krukenberg (1871–1946). Krukenberg studied medicine at the Universities of Bonn, Strassburg and Heidelberg. Afterwards he was a surgical assistant to Friedrich Trendelenburg (1844–1924) in Bonn, and to Max Schede (1844–1902) at Eppendorf Hospital in Hamburg. In 1892 he became manager of a private clinic in Halle an der Saale, and in 1899 was chief surgeon at the municipal hospital in Liegnitz. During World War I he served as a field surgeon. In 1917 he developed an operation known today as the ""Krukenberg procedure"". This procedure involves separation of the ulna and radius bones in order to convert a below-elbow amputation stump into a ""sensory forceps"" that receives its strength from the pronator teres muscle. Among his written works was a 1913 book on physiognomy titled ""Gesichtsausdruck des Menschen"".

Greatest Hits: The Sound of Money
Greatest Hits: Sound of Money is a compilation of American rock singer Eddie Money's biggest hits plus three new tracks: ""Peace in Our Time"", ""Looking Through the Eyes of a Child"" and ""Stop Steppin' on My Heart"". The disc was originally released in 1989 by Columbia Records. A remastered CD surfaced in 2009, released by SPV.

Peace or Violence
""Peace or Violence"" is a 2010 song by Belgian singer Stromae, released on 31 May as the fourth promo-single for his album ""Cheese"", on which it was included. The song has as yet only charted in Austria.

Seminole (film)
Seminole is a 1953 American Technicolor Western film directed by Budd Boetticher and starring Rock Hudson, Anthony Quinn, Barbara Hale, and Richard Carlson. Much of the film was shot in the Everglades National Park, Florida. The film depicts the Second Seminole War (1835-1842).

Which film came out first, Blind Shaft or The Mask Of Fu Manchu?"
e2a3bf2a0bdd11eba7f7acde48001122,1544,12 June 1516,"John VI, Prince of Anhalt-Zerbst
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.

John II, Prince of Anhalt-Zerbst
John II, Prince of Anhalt-Zerbst (died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the youngest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.

John V, Prince of Anhalt-Zerbst
John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Poděbrady, King of Bohemia.

Moju Chowdhury Hat
Moju Chowdhury Hat  is a market village and tourist center in Charramani Mohan Union of Lakshmipur Sadar Upazila in southeastern Bangladesh. According to ""Banglapedia"", the sluice gate on Lakshmipur Khal (canal) is a tourist attraction. and also known as an transport hub in the southeastern Bangladesh, per day Travelling passengers 10k+ Over.

Kåre Bergstrøm
Kåre Bergstrøm (3 February 1911 – 24 June 1976) was a Swedish-born photographer and film director who settled in Norway. Bergstrøm was born in Värmland. He was assigned with the film production company Norsk Film from 1933, and eventually became a photographer. He photographed Toralf Sandø's film ""Den forsvundne pølsemaker"" from 1941, Tancred Ibsen's film ""Den farlige leken"" from 1942, Rasmus Breistein's ""Trysil-Knut"" from 1942, and Alfred Maurstad's comedy ""En herre med bart"" from 1942. After World War II he photographed Edith Carlmar's film debut ""Døden er et kjærtegn"", and Ibsen's ""To mistenkelige personer"", which eventually was forbidden to be shown in public after a judgement by the Supreme Court of Norway. His first film as director was the love story ""Andrine og Kjell"" from 1952. He further directed the comedy ""Det kunne vært deg"" (1952), the war documentary ""Blodveien"" (1955), about Yugoslavian slave workers in Norway during World War II, the thriller ""Lake of the Dead "" (1958), based on a crime novel by André Bjerke, a biographical film about Hans Nielsen Hauge (1961), ""Klokker i måneskinn"" (1964), and the children's film ""Bjurra"" (1970).

Catholic University of Leuven (1834–1968)
The Catholic University of Leuven was founded in 1834 in Mechelen as the Catholic University of Belgium moved its seat to the town of Leuven in 1835, and changed its name to Catholic University of Leuven.

George Augustus Williams
George Augustus Williams (4 May 1814 – 26 May 1901) was an English landscape painter during the Victorian era, and a member of the Williams family of painters.

When did John V, Prince Of Anhalt-Zerbst's father die?"
0cd3bdea0bde11eba7f7acde48001122,Bengal Film Journalists' Association – Best Art Director,Myanmar Motion Picture Academy Awards,"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

Bengal Film Journalists' Association – Best Art Director
Here is a list of the award winners and the films for which they won.

Golden Lotus Award for Best Actor
Golden Lotus Award for Best Actor is one of the main categories of competition of the Golden Lotus Awards. It is awarded to leading male actor( s) who have outstanding performance in motion pictures.

Consort Mei
Consort Mei (died 755) was an imperial consort of the Chinese dynasty Tang Dynasty during the reign of Emperor Xuanzong of Tang. She was one of Emperor Xuanzong's favorite concubine, often known as Mei fei (with ""fei"" being a standard rank for imperial consorts during her lifetime). Her actual name was Jiang Caipin (""江采蘋""), originally called Consort Jiang. After being told by her that she greatly favored Plum-Blossom flowers (the flower is pronounced as ""mei"" in Chinese), Emperor Xuanzong began to fondly address her as Consort Mei. Consort Mei was initially selected by Gao Lishi, a eunuch official of Emperor Xuanzong, to become one of Emperor Xuanzong's concubines in his harem. As Consort Mei was the most literate and talented concubines, she soon obtained Xuanzong's favors. To express the favors towards Consort Mei, Xuanzong commanded servants to plant Plum-Blossom trees all around her palace to please her interest. Xuanzong even lovingly complimented her beauty as more adorable than Zhao Feiyan, and swore that he would never change his heart for her. However, in 737, after the death of Consort Wu, another favorite concubine of Xuanzong, Xuanzong was deeply depressed until Gao Lishi convinced him to try looking at Yang Yuhuan - the wife of prince Li Mao, Xuanzong son with Consort Wu since her beauty was described as the most ""irresistible"". Being curious, Xuanzong ordered Yang Yuhuan to come and subsequently fell in love with her beauty. Since Yuhuan was still literally his daughter-in-law (as she was Li Mao's wife), emperor Xuanzong then stealthily arranged Yuhuan to become a Taoist nun, after a brief moment, Xuanzong eventually offered Yuhuan honorable title as Yang Guifei (with ""Guifei"" being the highest rank for imperial consorts) after bestowing his son Li Mao a new wife. Yuhuan became Xuanzong's most beloved consort as Xuanzong soon forgot about Consort Wu's death. His favors towards Consort Mei also waned. In 755, An Lushan began to create a rebellion (known as An Lushan Rebellion) in the palace. Emperor Xuanzong decided to bring Yang Guifei and his cortege along to flee from the capital Chang'an to Chengdu. Consort Mei was left behind then murdered during the rebellion.

M. S. Abdul Khader
M. S. Abdul Khader( c. 1932- 3 October 2009) was an Indian politician of the Dravida Munnetra Kazhagam( DMK) and later, Anna Dravida Munnetra Kazhagam. He served as mayor of Chennai and Member of Parliament.

The Olive Tree (1975 film)
The Olive Tree is a 1975 Australian TV film starring Alan Cassell and directed by Edgar Metcalfe. It was shot in Western Australia.

WADK
WADK (1540 AM) is a radio station licensed to serve Newport, Rhode Island. The station is owned by 3G Broadcasting, Inc. It airs a News/Talk format, with Jazz airing each weekend and local high school football and Salve Regina University college football home games during the autumn.

What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?"
f9dcb4a60bda11eba7f7acde48001122,Missouri,"Missoula, Montana","Ronnie Rocket
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.

Rocket Girl (disambiguation)
Rocket Girl or Girls in plural may refer to:

Guardians of the Galaxy (film)
Bradley Cooper as Rocket: A genetically engineered raccoon - like bounty hunter and mercenary who is a master of weapons and battle tactics. Gunn worked with live raccoons to get the correct feel for the character, and to make sure it was ``not a cartoon character '', saying,`` It's not Bugs Bunny in the middle of the Avengers, it's a real, little, somewhat mangled beast that's alone. There's no one else in the universe quite like him, he's been created by these guys to be a mean - ass fighting machine.'' Gunn also based the character on himself. Describing Rocket in relation to the rest of the Guardians, Cooper said, ``I think Rocket is dynamic. He's the sort of Joe Pesci in Goodfellas guy. ''Cooper voiced Rocket, while Sean Gunn (James' younger brother) stood in for the character during filming. James Gunn said that for the role of Rocket, some physical movement from Cooper, including facial expressions and hand movements, was recorded as potential reference for the animators, though much of Sean Gunn's acting is used throughout the film. Before Cooper was cast, James Gunn said that it was a challenge finding a voice for Rocket, that he was looking for someone that could balance`` the fast - talking speech patterns that Rocket has, but also can be funny, because he is really funny. But also has the heart that Rocket has. Because there are actually some pretty dramatic scenes with Rocket.''

SM UC-28
SM ""UC-28"" was a German Type UC II minelaying submarine or U-boat in the German Imperial Navy () during World War I. The U-boat was ordered on 29 August 1915 and was launched on 8 July 1916. She was commissioned into the German Imperial Navy on 6 August 1916 as SM ""UC-28"". In 0 patrols ""UC-28"" sank no ships. ""UC-28"" surrendered to France on 12 February 1919 and was broken up.

Raymund E. O'Mara
Major General Raymund E. O'Mara of United States Air Force, was tenth Director of the Defense Mapping Agency from June 1993 till his retirement in December 1994; with headquarters at Fairfax, Virginia. As director of DMA, O' Mara moved forward with the implementation of the Global Geospatial Information System, and also initiated the agency's reinvention task force.

College Tour
College Tour is a TV-show in the Netherlands, that interviews the most high-profile Dutch and international guests. Inspired by town hall meetings during United States elections, the majority of questions are asked by the audience. The show is hosted by news anchor Twan Huys, who conceived its format while working as U.S. correspondent in New York and Washington D.C. from 1999-2007.

Robert Silverberg
Robert Silverberg (born January 15, 1935) is an American author and editor, best known for writing science fiction. He is a multiple winner of both Hugo and Nebula Awards, a member of the Science Fiction and Fantasy Hall of Fame, and a Grand Master of SF. He has attended every Hugo Awards ceremony since the inaugural event in 1953.

Where was the director of film Ronnie Rocket born?"
019bed300bde11eba7f7acde48001122,Romania.,Galați,"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who's Your Daddy?
Who's Your Daddy may refer to:

Tomorrow and Tomorrow and Tomorrow (short story)
"" Tomorrow and Tomorrow and Tomorrow"" is a short story by Kurt Vonnegut originally written in 1953. It was first published in"" Galaxy Science Fiction"" magazine in January 1954, where the story was titled"" The Big Trip Up Yonder"", which is the protagonist's euphemism for dying. A revised version bearing the title"" Tomorrow and Tomorrow and Tomorrow"" appeared in Vonnegut's collection of short stories,"" Canary in a Cat House""( 1961), and was reprinted in"" Welcome to the Monkey House""( 1968). The new title comes from the famous line in Shakespeare's play"" Macbeth"" starting"" Tomorrow and tomorrow and tomorrow"".

Life with the Lyons (film)
Life with the Lyons is a 1954 British comedy film directed by Val Guest and starring Bebe Daniels, Ben Lyon and Richard Lyon. It was a spin- off from the radio series"" Life with the Lyons"", and the screenplay was based on previous episodes from the show. The Lyon family attempt to acquire a new house in Marble Arch. It was followed in 1955 by"" The Lyons in Paris"". The Lyons' contract called for them to receive a percentage of the film's profits. After the film's successful release, the Lyons began a long- running, BBC television series, also titled"" Life with the Lyons"". The film was made at Southall Studios.

Deep Conversation
Deep Conversation is the fourth studio album by Vallejo, California rapper, Celly Cel. The album was released in 2000 for Realside Records and was produced by Celly Cel and Bosko. The album was not a commercial success, only making it to# 94 on the Top R&B/ Hip- Hop album chart, however the album spawned two singles,"" The Return of the Real Niggaz"" and"" Which One Is U?"". Guests included on the album are Kurupt, WC and Young Bleed.

Paulo Rocha (film director)
Paulo Soares da Rocha (22 December 1935 – 29 December 2012) was a Portuguese film director. Among his best-known films are ""A Ilha dos Amores"" and ""O Rio do OuroA Ilha dos Amores"" was entered into the 1982 Cannes Film Festival, ""O Desejado"" was entered into the main competition at the 44th edition of the Venice Film Festival, and ""O Rio do Ouro"" was screened in the Un Certain Regard section at the 1998 Festival.

Where was the father of Ștefan I. Nenițescu born?"
a7b9672009c311ebbdb0ac1f6bf848b6,No.,no,"North Marion High School (Oregon)
North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.

Seoul High School
Seoul High School( Hangul: 서울고등학교) is a public high school located in the heart of Seoul, South Korea.

Marion High School (Indiana)
Marion High School is a high school in Marion, Indiana with more than 1,000 students.

Sergiu Nicolaescu
Sergiu Florin Nicolaescu (13 April 1930 – 3 January 2013) was a Romanian film director, actor and politician. He was best known for his historical films, such as ""Mihai Viteazul"" (1970, released in English both under the equivalent title ""Michael the Brave"" and also as ""The Last CrusadeDacii"" (1966, ""Les GuerriersRazboiul Independenței"" (1977, ""War of Independence""), as well as for his series of thrillers that take place in the interwar Kingdom of Romania, such as ""Un comisar acuză"" (1973, ""A Police Inspector Calls""). Joanna Pacuła starred in his film "" Ultima noapte de dragosteThe Last Night of Love"") in 1979 before eventually emigrating to the U.S. where he went on to a very successful career.

George Craig Stewart
George Craig Stewart (August 18, 1879 - May 2, 1940) was the sixth bishop of the Episcopal Diocese of Chicago from 1930 to 1940.

Raoul Servais
Raoul Servais( born 1 May 1928) is a Belgian filmmaker, animator, and comics artist. He is best known for the 1979 animated film"" Harpya"". At the 9th Magritte Awards, Servais received an Honorary Magritte Award from the Académie André Delvaux.

John Adams High School (Indiana)
John Adams High School( often referred to locally simply as Adams) is a public high school in South Bend, Indiana.

Are North Marion High School (Oregon) and Seoul High School both located in the same country?"
298f23b8088a11ebbd6eac1f6bf848b6,Love In Pawn,El Extraño Viaje,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Viaje (film)
Viaje is a 2015 Costa Rican romance film directed and written by Paz Fábrega. It had its world premiere at the 2015 Tribeca Film Festival, where it met with positive reviews. The film is shot in black- and- white.

El extraño viaje
El extraño viaje is a 1964 Spanish black drama film directed by Fernando Fernán Gómez. Famous film director Jess Franco acts as the brother of the protagonist. The film was a huge flop on its limited release. It was voted seventh best Spanish film by professionals and critics in 1996 Spanish cinema centenary.

Henry Lowther, 3rd Earl of Lonsdale
Henry Lowther, 3rd Earl of Lonsdale (27 March 1818 – 15 August 1876) was a British nobleman and Conservative politician.

Here Come the Huggetts
Here Come the Huggetts is a 1948 British comedy film, the first of the Huggetts series, about a working class English family. All three films in the series were directed by Ken Annakin and released by Gainsborough Pictures. Jack Warner and Kathleen Harrison head the cast as factory worker Joe Huggett and his wife Ethel, with Petula Clark, Jane Hylton and Susan Shaw as their young daughters (all with the same first names as the actresses portraying them) and Amy Veness as their opinionated grandmother. Diana Dors had an early role. Joe and Ethel had been introduced a year earlier in the film ""Holiday Camp"" and there would be two sequels, ""Vote for Huggett"" and ""The Huggetts Abroad"" (both 1949).

High Society (Epik High album)
High Society is the second studio album in 2004 by Epik High.

Fanny Hill (1983 film)
Fanny Hill is a 1983 British erotic comedy film directed by Gerry O' Hara and starring Lisa Foster, Oliver Reed, Wilfrid Hyde- White and Shelley Winters. It is adapted from the novel"" Fanny Hill"" by John Cleland. It is also known as"" Sex, Lies and Renaissance"".

Which film has the director who was born later, El Extraño Viaje or Love In Pawn?"
2ec440560bb011ebab90acde48001122,Antiochus IV Epiphanes,Ptolemy IX Lathyros,"Antiochus (son of Antiochus III the Great)
Antiochus( 221 BC – 193 BC) was a Seleucid prince, first- born child to the Seleucid monarchs Antiochus III the Great and Laodice III, and his father's first heir.

Laodice of the Sameans
Laodice was a Queen of an unknown Kingdom in Asia. She lived at the time of the Seleucid king of Syria Antiochus X Eusebes who reigned 95 BC- 92 or 88 BC.

Laodice (wife of Mithridates III of Pontus)
Laodice (fl. late 3rd – early 2nd centuries BCE) was a Greek Princess from the Seleucid Empire and the wife of King Mithridates III of Pontus. Laodice appears to have come from obscure origins. Laodice could have been a supposed daughter of the Seleucid King Antiochus IV Epiphanes. This is based on the assumption that the sister of Alexander Balas who appeared in Rome with him in 153 BC as a genuine daughter of Antiochus IV Epiphanes was the Laodice who married Mithridates III. Antiochus IV Epiphanes had two daughters who were Laodice VI from this marriage to his sister-wife Laodice IV and his other daughter was Antiochis the child from his concubine. However this assumption shows that Antiochus IV Epiphanes may have had another daughter called Laodice, however this is not certain. The assumption shows that there could some confusion about the identity of this Laodice and Laodice VI. Laodice bore Mithridates III three children: Mithridates IV of Pontus, Pharnaces I of Pontus and Laodice.

Cowboys & Aliens
Cowboys& Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford and Olivia Wilde. The film is based on the 2006 graphic novel of the same name created by Scott Mitchell Rosenberg. The plot revolves around an amnesiac outlaw( Craig), a wealthy cattleman( Ford), and a mysterious traveler( Wilde) who must ally to save a group of townspeople abducted by aliens. The screenplay was written by Roberto Orci, Alex Kurtzman, Damon Lindelof, Mark Fergus and Hawk Ostby, based on a screen story by the latter two along with Steve Oedekerk. The film was produced by Brian Grazer, Ron Howard, Kurtzman, Orci and Rosenberg, with Steven Spielberg and Favreau serving as executive producers. The project began development in April 1997, when Universal Pictures and DreamWorks Pictures bought film rights to a concept pitched by Rosenberg, former president at Malibu Comics, which he described as a graphic novel in development. After the graphic novel was published in 2006, development on the film was begun again, and Favreau signed on as director in September 2009. On a budget of$ 163 million, filming for"" Cowboys& Aliens"" began in June 2010, in New Mexico and California. Despite studio pressure to release the film in 3- D, Favreau chose to film traditionally and in anamorphic format( widescreen picture on standard 35 mm film) to further a"" classic movie feel"". Measures were taken to maintain a serious Western element despite the film's"" inherently comic"" title and premise. The film's aliens were designed to be"" cool and captivating"", with some details, such as a fungus that grows on their wounds, created to depict the creatures as frontiersmen facing adversity in an unfamiliar place. "" Cowboys& Aliens"" premiered at the 2011 San Diego Comic- Con and was released theatrically in the United States and Canada on, 2011. The film was considered to be a financial disappointment, taking$ 174.8 million in box office receipts on a$ 163 million budget. "" Cowboys& Aliens"" received mixed reviews, with critics generally praising its acting while criticizing other aspects.

The Found Bride
The Found Bride( Germany: Die gefundene Braut) is a 1925 German silent comedy film directed by Rochus Gliese and starring Xenia Desni, André Mattoni and Jenny Jugo. It premiered on 28 April 1925 at the Tauentzienpalast in Berlin.

Hasan Ahmed (cinematographer)
Hasan Ahmed is a Bangladeshi Cinematographer. He won the Bangladesh National Film Award for Best Cinematography three times for the films"" Ghrina""( 1994),"" Ghani""( 2006) and"" Gohine Shobdo""( 2010).

Polynesia
Polynesia (UK: / ˌpɒlɪˈniːziə /, US: / - ʒə /; from Greek: πολύς polys ``many ''and Greek: νῆσος nēsos`` island'') is a subregion of Oceania, made up of more than 1,000 islands scattered over the central and southern Pacific Ocean. The indigenous people who inhabit the islands of Polynesia are termed Polynesians, and share many similar traits including language family, culture, and beliefs. Historically, they had a strong tradition of sailing and using stars to navigate at night. The largest country in Polynesia is New Zealand.

Who is the maternal grandfather of Antiochus X Eusebes?"
05f8a691087b11ebbd67ac1f6bf848b6,The Working Class Goes To Heaven,The Working Class Goes To Heaven,"Gustavo Fuertes
Among his main works it highlights the short film El Juicio Final (US Title: The Final Judgement(1992) which won a Silver Plaque in Chicago International Film Festival.

Godfather Mendoza
In 1994, the Mexican magazine ""Somos"" published a list of ""The 100 best movies of the cinema of Mexico"" in its 100th edition and choose ""El compadre Mendoza"" the 3rd better of all time, just behind ""Vámonos con Pancho Villa"" and ""Los olvidados"".

La muerte de un burócrata
La muerte de un burócrata (Death of a Bureaucrat) is a 1966 comedy film by Cuban director Tomás Gutiérrez Alea which pokes fun at the Communist bureaucracy and red tape and how it affects the lives of the common people who have to waste time and overcome hurdles just to get on with their ordinary lives. The story begins with the death of a model worker, who is buried with his labor card as a badge of honor. However, his widow is told she needs that card to claim the benefits she is entitled to. The story then takes several surreal turns, as the family of the dead man tries to recover the precious card from the grave. As they succeed to do so, the bureaucracy grows into a formidable enemy: Their wish to re-bury the husband is turned down, because all the official documents show he already has been buried...

Jadval-e Darta Mokhtar
Jadval -e Darta Mokhtar( also Romanized as Jadval- e Dārtā Mokhtār; also known as Jadval- e Now and Jadval Now) is a village in Sarrud -e Jonubi Rural District, in the Central District of Boyer- Ahmad County, Kohgiluyeh and Boyer- Ahmad Province, Iran. At the 2006 census, its population was 39, in 8 families.

Clearwater River (Queets River)
The Clearwater River is a river situated on the Olympic Peninsula in Washington. It is the main tributary of the Queets River. The Clearwater River is long. Its drainage basin is in area. The Clearwater's main tributaries are the Snahapish River and the Solleks River.

Alief Kerr High School
Alief Kerr High School is a magnet school located in the Alief community, and in the limited purpose city limits of Houston, Texas, United States. The school is a part of the Alief Independent School District and serves grades 9 through 12. Kerr High School was awarded the Blue Ribbon School Award of Excellence by the United States Department of Education, the highest award an American school can receive, during the 2010- 11 school year. The school also received the award in 2016, one of only 26 Texas schools to receive the award. It is located in the International District.

I'll Never Forget That Night
I'll Never Forget That Night is a 1949 German comedy film directed by Johannes Meyer and starring Gustav Fröhlich, Winnie Markus and Paul Henckels. The film's sets were designed by the art director Erich Grave.

Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?"
